Combinations,Amount of Players
air + air,16
air + algae,11
air + atomic bomb,4
air + beach,2
air + brick,12
air + cactus,1
air + city,1
air + coal,1
air + cotton,1
air + dew,7
air + dune,1
air + dust,23
air + earth,37
air + earthquake,11
air + energy,38
air + excalibur,2
air + fog,2
air + garden,3
air + geyser,9
air + gold,1
air + grass,5
air + house,4
air + hurricane,9
air + isle,3
air + lava,24
air + life,1
air + light,1
air + mountain range,1
air + mud,12
air + night,1
air + obsidian,4
air + ocean,5
air + paint,1
air + plant,13
air + pressure,9
air + pyramid,1
air + rainbow,2
air + river,1
air + salt,3
air + sand,5
air + sandstone,2
air + sea,8
air + steam,22
air + stone,10
air + storm,5
air + village,1
air + volcano,8
air + wave,2
air + wind,20
air + windmill,1
algae + algae,10
algae + atmosphere,3
algae + beach,1
algae + brick,7
algae + cloud,2
algae + coal,1
algae + dust,6
algae + earth,11
algae + earthquake,2
algae + energy,8
algae + fire,10
algae + garden,2
algae + geyser,3
algae + grass,5
algae + gunpowder,1
algae + horizon,2
algae + isle,1
algae + lava,4
algae + moss,1
algae + mountain,2
algae + mud,5
algae + obsidian,2
algae + ocean,4
algae + plant,5
algae + pressure,2
algae + rain,10
algae + rainbow,1
algae + river,2
algae + salt,3
algae + sand,1
algae + sea,5
algae + steam,4
algae + stone,2
algae + storm,1
algae + tide,1
algae + volcano,2
algae + water,14
algae + wave,1
algae + wind,9
aquarium + air,1
aquarium + algae,1
aquarium + aquarium,1
aquarium + beach,1
aquarium + cloud,1
aquarium + dune,1
aquarium + electricity,1
archipelago + air,2
archipelago + archipelago,5
archipelago + city,3
archipelago + dam,1
archipelago + earthquake,1
archipelago + flood,1
archipelago + horizon,1
archipelago + isle,2
archipelago + lava,1
archipelago + moon,1
archipelago + volcano,1
ash + air,5
ash + algae,3
ash + ash,4
ash + atmosphere,1
ash + beach,1
ash + blade,1
ash + brick,3
ash + city,1
ash + cloud,1
ash + dam,1
ash + dew,1
ash + dune,1
ash + dust,2
ash + earthquake,2
ash + energy,4
ash + explosion,1
ash + flood,1
ash + garden,1
ash + geyser,1
ash + gold,1
ash + grass,2
ash + gunpowder,2
ash + house,1
ash + hurricane,1
ash + isle,1
ash + lava,2
ash + ocean,1
ash + rust,1
ash + salt,1
ash + sea,2
ash + sound,1
ash + wind,2
atmosphere + air,5
atmosphere + atmosphere,5
atmosphere + atomic bomb,1
atmosphere + cloud,2
atmosphere + energy,6
atmosphere + grass,1
atmosphere + house,2
