Combinations,Amount of Players
air + air,6
air + algae,6
air + ash,3
air + blade,1
air + brick,7
air + cotton,1
air + dew,3
air + dust,14
air + earth,24
air + earthquake,5
air + energy,17
air + excalibur,1
air + garden,1
air + geyser,5
air + grass,3
air + lava,15
air + mud,8
air + obsidian,2
air + ocean,1
air + plant,7
air + pressure,5
air + salt,1
air + sand,1
air + sea,3
air + steam,9
air + stone,6
air + sword,2
air + volcano,6
air + wind,6
algae + algae,2
algae + earth,5
algae + fire,5
algae + mud,1
algae + ocean,1
atmosphere + air,2
atmosphere + atmosphere,1
atmosphere + cloud,1
atmosphere + energy,3
atmosphere + wave,1
beach + earth,1
beach + steam,1
blade + fire,3
blade + metal,3
blade + mud,1
blade + steam,1
blade + stone,1
brick + algae,1
brick + brick,4
brick + clay,1
brick + cloud,1
brick + earthquake,2
brick + energy,3
brick + lava,3
brick + mud,3
brick + pressure,1
brick + stone,1
brick + swamp,1
brick + tobacco,1
brick + volcano,1
brick + wave,1
city + city,1
city + energy,1
city + fire,1
cloud + air,3
cloud + cloud,1
cloud + cotton,1
cloud + earth,2
cloud + energy,2
cloud + fire,3
cloud + geyser,1
cloud + lava,1
cloud + rain,2
cloud + steam,1
cloud + storm,1
cloud + wind,3
coal + coal,1
coal + dew,1
coal + energy,1
coal + fire,2
cotton + fire,1
cotton + lava,1
dew + dust,2
dew + water,2
dust + algae,1
dust + atmosphere,1
dust + brick,1
dust + cloud,4
dust + dust,3
dust + hurricane,1
dust + mud,3
dust + obsidian,1
dust + rain,4
dust + steam,3
dust + swamp,1
dust + water,11
dust + wave,1
dust + wind,5
earth + atmosphere,2
earth + blade,1
earth + brick,6
earth + clay,1
earth + cotton,1
earth + dew,1
earth + dust,5
earth + earth,10
earth + electricity,2
earth + energy,16
earth + excalibur,1
earth + fire,28
earth + fog,1
earth + grass,2
earth + lava,12
earth + metal,2
earth + mud,3
earth + obsidian,6
earth + ocean,1
earth + plant,9
earth + rain,16
earth + salt,2
earth + sea,3
earth + steam,13
earth + sword,2
earth + volcano,6
earth + water,27
earthquake + aquarium,1
earthquake + ash,1
earthquake + atmosphere,1
earthquake + dust,1
earthquake + earth,3
earthquake + earthquake,4
earthquake + explosion,1
earthquake + hurricane,3
earthquake + rain,3
earthquake + sand,1
earthquake + stone,1
earthquake + tsunami,1
earthquake + volcano,2
earthquake + wind,1
electricity + air,1
electricity + earthquake,1
electricity + fire,1
electricity + metal,3
electricity + sea,1
electricity + stone,2
electricity + water,3
energy + algae,1
energy + ash,2
energy + blade,1
energy + bullet,1
energy + dust,7
energy + earthquake,5
energy + electricity,4
energy + energy,4
energy + fire,17
energy + fog,1
energy + geyser,5
energy + hurricane,4
energy + lava,9
energy + metal,4
energy + mud,2
energy + plant,4
