Combinations,Percentage of Players
air + air,27.6
air + algae,19.0
air + atomic bomb,6.9
air + beach,3.4
air + brick,20.7
air + cactus,1.7
air + city,1.7
air + coal,1.7
air + cotton,1.7
air + dew,12.1
air + dune,1.7
air + dust,39.7
air + earth,63.8
air + earthquake,19.0
air + energy,65.5
air + excalibur,3.4
air + fog,3.4
air + garden,5.2
air + geyser,15.5
air + gold,1.7
air + grass,8.6
air + house,6.9
air + hurricane,15.5
air + isle,5.2
air + lava,41.4
air + life,1.7
air + light,1.7
air + mountain range,1.7
air + mud,20.7
air + night,1.7
air + obsidian,6.9
air + ocean,8.6
air + paint,1.7
air + plant,22.4
air + pressure,15.5
air + pyramid,1.7
air + rainbow,3.4
air + river,1.7
air + salt,5.2
air + sand,8.6
air + sandstone,3.4
air + sea,13.8
air + steam,37.9
air + stone,17.2
air + storm,8.6
air + village,1.7
air + volcano,13.8
air + wave,3.4
air + wind,34.5
air + windmill,1.7
algae + algae,17.2
algae + atmosphere,5.2
algae + beach,1.7
algae + brick,12.1
algae + cloud,3.4
algae + coal,1.7
algae + dust,10.3
algae + earth,19.0
algae + earthquake,3.4
algae + energy,13.8
algae + fire,17.2
algae + garden,3.4
algae + geyser,5.2
algae + grass,8.6
algae + gunpowder,1.7
algae + horizon,3.4
algae + isle,1.7
algae + lava,6.9
algae + moss,1.7
algae + mountain,3.4
algae + mud,8.6
algae + obsidian,3.4
algae + ocean,6.9
algae + plant,8.6
algae + pressure,3.4
algae + rain,17.2
algae + rainbow,1.7
algae + river,3.4
algae + salt,5.2
algae + sand,1.7
algae + sea,8.6
algae + steam,6.9
algae + stone,3.4
algae + storm,1.7
algae + tide,1.7
algae + volcano,3.4
algae + water,24.1
algae + wave,1.7
algae + wind,15.5
aquarium + air,1.7
aquarium + algae,1.7
aquarium + aquarium,1.7
aquarium + beach,1.7
aquarium + cloud,1.7
aquarium + dune,1.7
aquarium + electricity,1.7
archipelago + air,3.4
archipelago + archipelago,8.6
archipelago + city,5.2
archipelago + dam,1.7
archipelago + earthquake,1.7
archipelago + flood,1.7
archipelago + horizon,1.7
archipelago + isle,3.4
archipelago + lava,1.7
archipelago + moon,1.7
archipelago + volcano,1.7
ash + air,8.6
ash + algae,5.2
ash + ash,6.9
ash + atmosphere,1.7
ash + beach,1.7
ash + blade,1.7
ash + brick,5.2
ash + city,1.7
ash + cloud,1.7
ash + dam,1.7
ash + dew,1.7
ash + dune,1.7
ash + dust,3.4
ash + earthquake,3.4
ash + energy,6.9
ash + explosion,1.7
ash + flood,1.7
ash + garden,1.7
ash + geyser,1.7
ash + gold,1.7
ash + grass,3.4
ash + gunpowder,3.4
ash + house,1.7
ash + hurricane,1.7
ash + isle,1.7
ash + lava,3.4
ash + ocean,1.7
ash + rust,1.7
ash + salt,1.7
ash + sea,3.4
ash + sound,1.7
ash + wind,3.4
atmosphere + air,8.6
atmosphere + atmosphere,8.6
atmosphere + atomic bomb,1.7
atmosphere + cloud,3.4
atmosphere + energy,10.3
atmosphere + grass,1.7
atmosphere + house,3.4
atmosphere + hurricane,1.7
atmosphere + light,1.7
atmosphere + sea,8.6
atmosphere + steam,5.2
atmosphere + volcano,1.7
atmosphere + water,6.9
atmosphere + wave,3.4
atmosphere + wire,1.7
atomic bomb + algae,3.4
atomic bomb + archipelago,1.7
atomic bomb + atomic bomb,5.2
atomic bomb + blade,1.7
atomic bomb + brick,1.7
atomic bomb + bullet,1.7
atomic bomb + dust,5.2
atomic bomb + fire,6.9
atomic bomb + geyser,1.7
atomic bomb + gunpowder,1.7
atomic bomb + house,1.7
atomic bomb + lava,1.7
atomic bomb + sand,1.7
atomic bomb + sea,1.7
atomic bomb + sun,1.7
