Combinations,Amount of Players
air + air,50
air + algae,27
air + aquarium,2
air + atomic bomb,9
air + bacteria,1
air + boiler,3
air + brick,30
air + bullet,3
air + cactus,1
air + clay,1
air + cloud,45
air + cotton,1
air + dam,1
air + day,5
air + desert,3
air + dew,9
air + dune,3
air + dust,59
air + earth,125
air + earthquake,30
air + energy,81
air + excalibur,2
air + fireworks,1
air + geyser,30
air + gold,1
air + grass,8
air + grenade,1
air + gunpowder,11
air + horizon,4
air + house,5
air + human,1
air + isle,4
air + light,1
air + mountain range,1
air + mud,34
air + night,1
air + obsidian,16
air + ocean,12
air + paint,1
air + plant,24
air + pond,1
air + pressure,21
air + pyramid,1
air + rain,58
air + rust,3
air + sand,10
air + sandstone,2
air + steam,73
air + stone,19
air + sun,5
air + swamp,7
air + tobacco,11
air + tsunami,3
air + village,1
air + volcano,29
air + wave,3
air + wind,42
air + windmill,3
air + wizard,1
algae + algae,19
algae + allergy,1
algae + atmosphere,3
algae + brick,9
algae + coal,1
algae + cotton,1
algae + dust,9
algae + energy,18
algae + explosion,1
algae + fire,25
algae + flood,1
algae + garden,5
algae + geyser,4
algae + granite,1
algae + gunpowder,1
algae + horizon,2
algae + house,1
algae + human,1
algae + isle,1
algae + lava,11
algae + metal,1
algae + moss,1
algae + obsidian,6
algae + ocean,4
algae + plant,10
algae + pressure,4
algae + rainbow,1
algae + salt,3
algae + sea,10
algae + steam,13
algae + stone,6
algae + storm,1
algae + tide,1
algae + volcano,4
algae + water,30
algae + wave,1
algae + wind,11
algae + wire,1
allergy + ash,1
allergy + farmer,1
allergy + rain,1
allergy + water,1
aquarium + algae,1
aquarium + aquarium,4
aquarium + beach,2
aquarium + dune,1
aquarium + dust,2
aquarium + electricity,1
aquarium + glass,2
aquarium + sandstone,1
archipelago + air,2
archipelago + archipelago,9
archipelago + city,3
archipelago + dam,1
archipelago + earthquake,1
archipelago + explosion,2
archipelago + flood,2
archipelago + horizon,1
archipelago + isle,3
archipelago + lava,1
archipelago + moon,1
archipelago + wind,1
ash + air,14
ash + algae,3
ash + archipelago,1
ash + ash,7
ash + beach,2
ash + blade,1
ash + brick,6
ash + city,1
ash + cloud,4
ash + dam,1
ash + dew,1
ash + dune,1
ash + energy,14
ash + fire,14
ash + flood,1
ash + garden,1
ash + geyser,4
ash + gold,1
ash + grass,2
ash + house,1
ash + hurricane,3
ash + isle,1
ash + metal,1
ash + mud,6
ash + obsidian,5
ash + ocean,2
ash + pressure,1
ash + rain,9
ash + rust,1
ash + salt,1
ash + sound,1
ash + stone,4
ash + water,17
atmosphere + air,16
atmosphere + aquarium,1
atmosphere + archipelago,1
atmosphere + ash,3
atmosphere + atmosphere,18
atmosphere + atomic bomb,2
atmosphere + cloud,6
atmosphere + dust,6
atmosphere + earthquake,4
atmosphere + electricity,2
atmosphere + garden,1
atmosphere + grass,1
atmosphere + gun,1
atmosphere + house,2
atmosphere + hurricane,1
atmosphere + lava,4
atmosphere + light,1
atmosphere + metal,3
atmosphere + plant,2
atmosphere + sea,7
atmosphere + sky,5
atmosphere + steam,8
atmosphere + stone,1
atmosphere + storm,1
atmosphere + tobacco,1
atmosphere + water,10
atmosphere + wave,2
atmosphere + wire,3
atomic bomb + algae,5
atomic bomb + archipelago,1
atomic bomb + ash,1
atomic bomb + atomic bomb,8
atomic bomb + blade,2
atomic bomb + boiler,1
atomic bomb + cloud,3
atomic bomb + cold,1
atomic bomb + dust,6
atomic bomb + earth,7
atomic bomb + earthquake,6
atomic bomb + explosion,14
atomic bomb + fireman,1
atomic bomb + gunpowder,4
atomic bomb + house,1
atomic bomb + human,1
atomic bomb + lava,3
atomic bomb + metal,5
atomic bomb + mud,4
atomic bomb + obsidian,3
atomic bomb + plankton,1
atomic bomb + salt,1
atomic bomb + sand,1
atomic bomb + sea,1
atomic bomb + sound,1
atomic bomb + steam,4
atomic bomb + stone,2
atomic bomb + storm,4
atomic bomb + sun,1
atomic bomb + swamp,1
atomic bomb + village,1
atomic bomb + volcano,8
atomic bomb + wall,1
atomic bomb + wave,1
atomic bomb + wind,6
atomic bomb + wizard,1
bacteria + brick,1
bacteria + earth,1
bacteria + energy,1
bacteria + fire,1
bacteria + geyser,1
bacteria + obsidian,1
bacteria + plant,1
bacteria + rain,1
bacteria + steam,1
bacteria + wind,1
bayonet + bayonet,1
bayonet + blade,1
bayonet + sword,1
beach + air,4
beach + algae,2
beach + atmosphere,2
beach + atomic bomb,2
beach + beach,5
beach + boiler,1
beach + brick,1
beach + bullet,1
beach + desert,1
beach + earth,6
beach + energy,4
beach + lava,3
beach + mountain,1
beach + pyramid,1
beach + sand,2
beach + sea,1
beach + stone,2
beach + volcano,3
beach + wave,1
beach + wind,4
bird + energy,1
blade + air,3
blade + aquarium,1
blade + archipelago,1
blade + blade,7
blade + bullet,4
blade + dust,3
blade + earth,2
blade + earthquake,1
blade + electricity,5
blade + energy,6
blade + explosion,1
blade + gun,1
blade + gunpowder,2
blade + hay,1
blade + light,1
blade + moon,1
blade + mud,2
blade + obsidian,2
blade + pressure,1
blade + sand,1
blade + sandstorm,1
blade + scissors,4
blade + sky,1
blade + stone,5
blade + swamp,1
blade + volcano,1
blade + water,4
blade + wind,1
blender + air,2
blender + blade,2
blender + blender,2
blender + bullet,1
blender + earth,1
blender + excalibur,1
blender + fire,1
blender + rain,1
blender + sky,1
blender + wire,2
boiler + boiler,2
boiler + bullet,1
boiler + desert,1
boiler + dust,1
boiler + light,1
boiler + metal,1
boiler + obsidian,2
boiler + pressure,2
boiler + sand,1
boiler + sea,2
boiler + stone,1
boiler + wire,1
brick + aquarium,1
brick + atmosphere,3
brick + atomic bomb,5
brick + blade,2
brick + brick,28
brick + bullet,1
brick + clay,3
brick + cloud,8
brick + cotton,1
brick + day,1
brick + earth,33
brick + energy,29
brick + flood,2
brick + granite,1
brick + grass,2
brick + house,3
brick + hurricane,3
brick + moss,2
brick + mountain,2
brick + ocean,3
brick + pressure,5
brick + river,1
brick + salt,2
brick + sand,2
brick + scissors,2
brick + sea,3
brick + sky,1
brick + sound,1
brick + steam,15
brick + stone,7
brick + swamp,5
brick + tobacco,7
brick + tsunami,1
brick + wall,8
bullet + atomic bomb,2
bullet + bullet,3
bullet + dust,2
bullet + dynamite,1
bullet + electricity,1
bullet + fire,3
bullet + flamethrower,1
bullet + lava,2
bullet + metal,7
bullet + stone,1
bullet + tobacco,1
bullet + water gun,1
cactus + cloud,1
cactus + earthquake,1
cactus + water,1
city + air,3
city + algae,1
city + atmosphere,1
city + atomic bomb,3
city + boiler,1
city + brick,5
city + city,21
city + cloud,2
city + dam,1
city + desert,1
city + earth,5
city + electricity,1
city + energy,10
city + house,7
city + metal,1
city + moon,1
city + mountain range,2
city + night,1
city + ocean,1
city + rain,2
city + river,1
city + salt,2
city + sea,3
city + steam,3
city + tobacco,1
city + tsunami,1
city + wall,7
city + water,5
city + wind,1
clay + beach,1
clay + clay,1
clay + lava,2
clay + river,1
clay + water,2
clay + wire,1
cloud + algae,5
cloud + aquarium,2
cloud + archipelago,2
cloud + beach,2
cloud + blade,1
cloud + blender,1
cloud + clay,1
cloud + cloud,19
cloud + coal,1
cloud + day,3
cloud + dew,1
cloud + double rainbow!,1
cloud + dust,19
cloud + earth,20
cloud + earthquake,4
cloud + eclipse,1
cloud + fire,24
cloud + fireworks,1
cloud + garden,1
cloud + geyser,4
cloud + glass,1
cloud + gunpowder,4
cloud + horizon,4
cloud + hurricane,3
cloud + lava,12
cloud + mountain,1
cloud + obsidian,6
cloud + ocean,2
cloud + plant,5
cloud + sandstorm,1
cloud + sea,3
cloud + sky,20
cloud + stone,4
cloud + storm,8
cloud + sun,7
cloud + tobacco,3
cloud + water,46
cloud + wind,12
coal + air,2
coal + atomic bomb,1
coal + coal,4
coal + dew,1
coal + energy,3
coal + fire,6
coal + granite,1
coal + pressure,2
coal + rain,2
coal + steam,1
coal + village,1
coal + volcano,2
coal + wind,1
cold + cold,1
cold + earth,1
cold + life,1
cold + mountain,1
cold + swamp,1
cold + wizard,1
cotton + atomic bomb,1
cotton + cloud,4
cotton + cotton,2
cotton + hay,1
cotton + lava,2
cotton + paint,2
cotton + plant,2
cotton + rain,1
cotton + rainbow,1
cotton + storm,1
cotton + water,3
dam + dam,1
dam + lake,1
dam + sea,1
dam + windmill,1
day + blender,1
day + city,1
day + day,4
day + dust,1
day + gold,1
day + grass,1
day + horizon,1
day + lava,3
day + metal,1
day + pond,1
day + pressure,1
day + rain,2
day + steam,2
day + storm,1
day + village,1
desert + bullet,1
desert + desert,4
desert + dune,2
desert + earth,2
desert + fire,2
desert + flood,1
desert + rust,1
desert + sand,1
desert + sea,1
desert + stone,1
desert + tsunami,1
dew + algae,3
dew + atmosphere,1
dew + atomic bomb,1
dew + dew,4
dew + dust,3
dew + farmer,1
dew + fire,6
dew + night,1
dew + rain,3
dew + rainbow,1
dew + sky,1
dew + swamp,1
dew + volcano,1
diamond + air,1
diamond + algae,1
diamond + brick,1
diamond + city,1
diamond + coal,1
diamond + diamond,1
diamond + earth,1
diamond + earthquake,1
diamond + energy,1
diamond + fire,1
diamond + flood,1
diamond + geyser,1
diamond + house,1
diamond + lava,2
diamond + pressure,2
double rainbow! + archipelago,1
double rainbow! + atmosphere,1
double rainbow! + double rainbow!,2
double rainbow! + water,1
duck + energy,1
dune + beach,1
dune + boiler,1
dune + cloud,1
dune + dune,3
dune + dust,3
dune + earth,2
dune + earthquake,3
dune + electricity,2
dune + energy,3
dune + rust,1
dune + sand,2
dune + stone,2
dune + wind,5
dune + wire,1
dust + ash,8
dust + beach,3
dust + brick,19
dust + city,1
dust + clay,2
dust + cold,1
dust + cotton,1
dust + desert,3
dust + dust,34
dust + earth,41
dust + earthquake,19
dust + explosion,5
dust + fire,64
dust + flood,3
dust + fog,2
dust + granite,1
dust + hurricane,8
dust + life,1
dust + obsidian,11
dust + salt,5
dust + sand,2
dust + sandstorm,1
dust + sound,1
dust + stone,5
dust + tobacco,6
dust + village,1
dust + volcano,22
dust + water gun,1
dynamite + atomic bomb,1
dynamite + beach,1
dynamite + dust,1
dynamite + sand,1
dynamite + water,1
earth + algae,25
earth + aquarium,1
earth + archipelago,2
earth + ash,9
earth + atmosphere,13
earth + boiler,1
earth + bullet,3
earth + cactus,1
earth + clay,1
earth + coal,2
