Combinations,Amount of Players
air + air,27
air + algae,15
air + ash,7
air + blade,1
air + boiler,1
air + brick,15
air + bullet,1
air + clay,1
air + cloud,18
air + cotton,1
air + desert,1
air + dew,3
air + dust,30
air + earthquake,17
air + energy,45
air + excalibur,1
air + explosion,2
air + fireworks,1
air + geyser,15
air + grass,5
air + grenade,1
air + gunpowder,7
air + lava,35
air + mud,20
air + obsidian,7
air + ocean,4
air + plant,13
air + pond,1
air + pressure,11
air + rain,32
air + salt,2
air + sand,4
air + sea,3
air + sky,3
air + steam,34
air + stone,9
air + storm,2
air + sun,1
air + sword,2
air + tobacco,2
air + tsunami,1
air + wind,19
algae + algae,5
algae + brick,2
algae + cloud,2
algae + cotton,1
algae + energy,6
algae + flood,1
algae + lava,5
algae + ocean,1
algae + plant,2
algae + pressure,1
algae + rain,4
algae + sea,2
algae + stone,1
algae + water,12
algae + wind,2
aquarium + aquarium,1
ash + energy,7
ash + fire,7
ash + mud,2
ash + obsidian,1
ash + rain,4
ash + water,8
atmosphere + air,7
atmosphere + atmosphere,6
atmosphere + cloud,4
atmosphere + earthquake,2
atmosphere + garden,1
atmosphere + obsidian,2
atmosphere + plant,2
atmosphere + pressure,3
atmosphere + sea,3
atmosphere + steam,5
atmosphere + tobacco,1
atmosphere + water,4
atmosphere + wave,1
atomic bomb + air,2
atomic bomb + algae,2
atomic bomb + cloud,1
atomic bomb + earth,1
atomic bomb + earthquake,1
atomic bomb + lava,1
atomic bomb + metal,1
atomic bomb + mud,1
atomic bomb + salt,1
atomic bomb + steam,1
atomic bomb + storm,1
atomic bomb + water,3
beach + beach,1
beach + brick,1
beach + earth,1
beach + energy,1
beach + lava,2
beach + steam,1
beach + volcano,2
blade + fire,3
blade + metal,3
blade + mud,1
blade + steam,1
blade + stone,1
boiler + fire,2
boiler + obsidian,1
boiler + sand,1
boiler + water,1
brick + atomic bomb,2
brick + brick,14
brick + bullet,1
brick + clay,2
brick + cotton,1
brick + dust,7
brick + earth,22
brick + energy,17
brick + gunpowder,2
brick + moss,1
brick + pressure,1
brick + river,1
brick + steam,8
brick + stone,1
brick + swamp,2
brick + tobacco,3
brick + wave,1
bullet + atomic bomb,1
bullet + fire,1
bullet + gun,2
bullet + stone,1
bullet + water gun,1
city + city,4
city + energy,1
city + explosion,1
city + fire,1
clay + beach,1
clay + lava,1
cloud + brick,3
cloud + clay,1
cloud + cloud,9
cloud + dust,9
cloud + earth,6
cloud + earthquake,1
cloud + energy,9
cloud + fire,13
cloud + fog,3
cloud + garden,1
cloud + geyser,1
cloud + gunpowder,2
cloud + lava,4
cloud + ocean,1
cloud + plant,2
cloud + rain,10
cloud + steam,6
cloud + storm,1
cloud + sun,2
cloud + tobacco,1
cloud + volcano,1
cloud + water,24
coal + coal,1
coal + dew,1
coal + energy,1
coal + fire,2
cotton + cloud,2
cotton + fire,1
cotton + lava,2
cotton + water,2
day + air,2
day + cloud,1
day + lava,1
day + sky,2
desert + flood,1
dew + dust,2
dew + fire,3
dew + water,3
dust + algae,1
dust + ash,4
dust + atmosphere,1
dust + clay,1
dust + dust,12
dust + earthquake,10
dust + electricity,1
dust + explosion,3
dust + flood,1
dust + granite,1
dust + grass,1
dust + gunpowder,11
dust + hurricane,2
dust + metal,1
dust + mountain,1
dust + obsidian,3
dust + plant,3
dust + rain,10
dust + salt,2
dust + stone,1
dust + tobacco,2
dust + volcano,11
dust + water gun,1
dust + wave,1
earth + air,72
earth + algae,10
earth + ash,3
earth + atmosphere,4
earth + blade,1
earth + bullet,1
earth + clay,1
earth + cotton,1
earth + dew,2
earth + dust,20
earth + earth,30
earth + earthquake,19
earth + electricity,2
earth + energy,48
earth + excalibur,1
earth + explosion,8
earth + fireworks,1
earth + flood,1
earth + flower,1
earth + garden,1
earth + geyser,9
earth + grass,6
earth + gunpowder,9
earth + hurricane,10
earth + metal,3
earth + mountain,9
earth + ocean,2
earth + plant,21
earth + rain,38
earth + salt,2
earth + sea,4
earth + sky,4
earth + steam,35
earth + stone,11
