Combinations,Amount of Players
air + air,34
air + algae,16
air + aquarium,1
air + atomic bomb,5
air + bacteria,1
air + boiler,3
air + brick,18
air + bullet,1
air + clay,1
air + cloud,32
air + dam,1
air + day,4
air + desert,1
air + dew,2
air + dune,2
air + dust,36
air + earth,88
air + earthquake,19
air + energy,43
air + fireworks,1
air + geyser,21
air + grass,3
air + grenade,1
air + gunpowder,6
air + horizon,3
air + house,1
air + human,1
air + isle,1
air + mud,22
air + obsidian,12
air + ocean,7
air + plant,11
air + pond,1
air + pressure,12
air + rain,36
air + rust,1
air + sand,5
air + steam,51
air + stone,9
air + sun,2
air + swamp,3
air + tobacco,3
air + tsunami,1
air + volcano,21
air + wave,1
air + wind,22
air + windmill,2
air + wizard,1
algae + algae,9
algae + allergy,1
algae + brick,2
algae + cotton,1
algae + dust,3
algae + energy,10
algae + explosion,1
algae + fire,15
algae + flood,1
algae + garden,3
algae + geyser,1
algae + granite,1
algae + house,1
algae + human,1
algae + lava,7
algae + metal,1
algae + obsidian,4
algae + plant,5
algae + pressure,2
algae + sea,5
algae + steam,9
algae + stone,4
algae + volcano,2
algae + water,16
algae + wind,2
algae + wire,1
allergy + ash,1
allergy + farmer,1
allergy + rain,1
allergy + water,1
aquarium + aquarium,3
aquarium + beach,1
aquarium + dust,2
aquarium + glass,2
aquarium + sandstone,1
archipelago + archipelago,4
archipelago + explosion,2
archipelago + flood,1
archipelago + isle,1
archipelago + wind,1
ash + air,9
ash + archipelago,1
ash + ash,3
ash + beach,1
ash + brick,3
ash + cloud,3
ash + energy,10
ash + fire,11
ash + geyser,3
ash + hurricane,2
ash + metal,1
ash + mud,3
ash + obsidian,1
ash + ocean,1
ash + pressure,1
ash + rain,3
ash + stone,3
ash + water,10
atmosphere + air,11
atmosphere + aquarium,1
atmosphere + archipelago,1
atmosphere + ash,2
atmosphere + atmosphere,13
atmosphere + atomic bomb,1
atmosphere + cloud,4
atmosphere + dust,3
atmosphere + earthquake,2
atmosphere + electricity,1
atmosphere + garden,1
atmosphere + gun,1
atmosphere + lava,1
atmosphere + metal,2
atmosphere + plant,1
atmosphere + sea,2
atmosphere + sky,3
atmosphere + steam,5
atmosphere + stone,1
atmosphere + storm,1
atmosphere + tobacco,1
atmosphere + water,6
atmosphere + wire,2
atomic bomb + algae,3
atomic bomb + ash,1
atomic bomb + atomic bomb,5
atomic bomb + blade,1
atomic bomb + boiler,1
atomic bomb + cloud,3
atomic bomb + cold,1
atomic bomb + dust,3
atomic bomb + earth,6
atomic bomb + earthquake,3
atomic bomb + explosion,10
atomic bomb + fireman,1
atomic bomb + gunpowder,3
atomic bomb + human,1
atomic bomb + lava,2
atomic bomb + metal,3
atomic bomb + mud,3
atomic bomb + obsidian,2
atomic bomb + plankton,1
atomic bomb + salt,1
atomic bomb + sound,1
atomic bomb + steam,1
atomic bomb + stone,1
atomic bomb + storm,3
atomic bomb + volcano,7
atomic bomb + wave,1
atomic bomb + wind,3
atomic bomb + wizard,1
bacteria + brick,1
bacteria + earth,1
bacteria + energy,1
bacteria + fire,1
bacteria + geyser,1
bacteria + obsidian,1
bacteria + plant,1
bacteria + rain,1
bacteria + steam,1
bacteria + wind,1
bayonet + blade,1
bayonet + sword,1
beach + air,2
beach + algae,1
beach + atmosphere,2
beach + atomic bomb,1
beach + beach,3
beach + boiler,1
beach + brick,1
beach + bullet,1
beach + desert,1
beach + earth,3
beach + energy,2
beach + lava,3
beach + mountain,1
beach + sand,2
beach + sea,1
beach + volcano,1
beach + wind,1
blade + aquarium,1
blade + blade,3
blade + bullet,2
blade + dust,2
blade + electricity,1
blade + energy,2
blade + gunpowder,1
blade + hay,1
blade + obsidian,1
blade + scissors,2
blade + swamp,1
blade + volcano,1
blade + water,1
blender + blade,1
blender + bullet,1
blender + fire,1
blender + wire,1
boiler + boiler,1
boiler + bullet,1
boiler + desert,1
boiler + dust,1
boiler + metal,1
boiler + obsidian,2
boiler + sand,1
boiler + sea,1
boiler + stone,1
brick + aquarium,1
brick + atmosphere,2
brick + atomic bomb,4
brick + blade,2
brick + brick,17
brick + bullet,1
brick + clay,2
brick + cloud,6
brick + cotton,1
brick + day,1
brick + earth,22
brick + energy,21
brick + flood,1
brick + granite,1
brick + grass,1
brick + house,1
brick + hurricane,2
brick + moss,1
brick + mountain,1
brick + ocean,2
brick + pressure,1
brick + river,1
brick + salt,1
brick + sand,1
brick + scissors,1
brick + sea,2
brick + sky,1
brick + steam,13
brick + stone,3
brick + swamp,3
brick + tobacco,2
brick + wall,5
bullet + atomic bomb,1
bullet + bullet,2
bullet + dust,2
bullet + dynamite,1
bullet + electricity,1
bullet + fire,3
bullet + flamethrower,1
bullet + lava,2
bullet + metal,6
bullet + stone,1
bullet + tobacco,1
bullet + water gun,1
city + air,2
city + brick,4
city + city,13
city + earth,4
city + energy,6
city + house,5
city + mountain range,1
city + rain,1
city + salt,2
city + sea,2
city + steam,2
city + wall,5
city + water,3
city + wind,1
clay + beach,1
clay + lava,2
clay + river,1
clay + water,1
cloud + algae,3
cloud + aquarium,1
cloud + archipelago,1
cloud + beach,1
cloud + clay,1
cloud + cloud,13
cloud + day,2
cloud + dust,13
cloud + earth,14
cloud + earthquake,2
cloud + fire,18
cloud + fireworks,1
cloud + garden,1
cloud + gunpowder,4
cloud + horizon,3
cloud + hurricane,1
cloud + lava,10
cloud + mountain,1
cloud + obsidian,5
cloud + ocean,2
cloud + plant,2
cloud + sea,2
cloud + sky,14
cloud + stone,4
cloud + storm,4
cloud + sun,3
cloud + tobacco,2
cloud + water,36
cloud + wind,3
coal + air,1
coal + coal,1
coal + fire,1
coal + granite,1
cold + cold,1
cold + earth,1
cold + life,1
cold + mountain,1
cold + swamp,1
cold + wizard,1
cotton + cloud,2
cotton + cotton,1
cotton + lava,1
cotton + paint,1
cotton + plant,1
cotton + rainbow,1
cotton + water,1
dam + lake,1
day + city,1
day + day,3
day + dust,1
day + gold,1
day + grass,1
day + lava,3
day + rain,2
day + steam,1
day + village,1
desert + bullet,1
desert + desert,2
desert + dune,2
desert + flood,1
desert + rust,1
desert + sand,1
desert + sea,1
desert + tsunami,1
dew + algae,1
dew + dust,1
dew + farmer,1
dew + fire,2
dew + rain,1
dew + volcano,1
dune + beach,1
dune + boiler,1
dune + dune,1
dune + dust,1
dune + earth,1
dune + earthquake,2
dune + electricity,1
dune + energy,1
dune + rust,1
dune + stone,1
dune + wind,1
dust + ash,6
dust + beach,2
dust + brick,13
dust + city,1
dust + clay,1
dust + cold,1
dust + desert,2
dust + dust,26
dust + earth,27
dust + earthquake,14
dust + explosion,5
dust + fire,48
dust + flood,3
dust + granite,1
dust + hurricane,4
dust + life,1
dust + obsidian,7
dust + salt,4
dust + sound,1
dust + stone,2
dust + tobacco,3
dust + village,1
dust + volcano,14
dust + water gun,1
dynamite + atomic bomb,1
dynamite + beach,1
dynamite + dust,1
dynamite + sand,1
dynamite + water,1
earth + algae,14
earth + aquarium,1
earth + ash,7
earth + atmosphere,7
earth + boiler,1
earth + bullet,2
earth + coal,1
earth + dew,3
earth + earth,33
earth + earthquake,23
earth + energy,43
earth + explosion,14
earth + fireworks,1
earth + flood,2
earth + fog,2
earth + geyser,12
earth + grass,9
earth + horizon,2
earth + house,2
earth + hurricane,14
earth + isle,1
earth + life,2
earth + metal,5
earth + ocean,6
earth + plant,21
earth + rain,39
earth + river,5
earth + sky,6
earth + sound,1
earth + steam,37
earth + stone,17
earth + sword,1
earth + tobacco,6
earth + tsunami,3
earth + wave,5
earth + wheat,1
earth + wind,16
earthquake + algae,4
earthquake + ash,4
earthquake + brick,6
earthquake + city,1
earthquake + cold,1
earthquake + dynamite,1
earthquake + earthquake,13
earthquake + electricity,3
earthquake + explosion,1
earthquake + geyser,6
earthquake + glasses,1
earthquake + hurricane,9
earthquake + isle,1
earthquake + lava,15
earthquake + life,1
earthquake + mountain,5
earthquake + mud,6
earthquake + obsidian,9
earthquake + ocean,6
earthquake + pressure,4
earthquake + rain,8
earthquake + sand,1
earthquake + sky,2
earthquake + steam,6
earthquake + stone,4
earthquake + storm,1
earthquake + water,21
earthquake + wave,2
earthquake + wire,2
