Combinations,Amount of Players
air + air,21
air + algae,9
air + ash,4
air + boiler,1
air + brick,8
air + bullet,1
air + clay,1
air + cloud,15
air + desert,1
air + dust,16
air + earthquake,12
air + energy,28
air + explosion,2
air + fireworks,1
air + geyser,10
air + grass,2
air + grenade,1
air + gunpowder,4
air + lava,20
air + mud,12
air + obsidian,5
air + ocean,3
air + plant,6
air + pond,1
air + pressure,6
air + rain,21
air + salt,1
air + sand,3
air + sky,3
air + steam,25
air + stone,3
air + storm,1
air + sun,1
air + tobacco,1
air + tsunami,1
air + wind,13
algae + algae,3
algae + brick,1
algae + cloud,2
algae + cotton,1
algae + energy,5
algae + flood,1
algae + lava,4
algae + plant,2
algae + pressure,1
algae + rain,2
algae + sea,1
algae + stone,1
algae + water,6
algae + wind,1
aquarium + aquarium,1
ash + energy,5
ash + fire,7
ash + mud,1
ash + obsidian,1
ash + rain,2
ash + water,5
atmosphere + air,5
atmosphere + atmosphere,5
atmosphere + cloud,3
atmosphere + earthquake,1
atmosphere + garden,1
atmosphere + obsidian,2
atmosphere + plant,1
atmosphere + pressure,2
atmosphere + sea,1
atmosphere + steam,4
atmosphere + tobacco,1
atmosphere + water,2
atomic bomb + air,2
atomic bomb + algae,2
atomic bomb + cloud,1
atomic bomb + earth,1
atomic bomb + earthquake,1
atomic bomb + lava,1
atomic bomb + metal,1
atomic bomb + mud,1
atomic bomb + salt,1
atomic bomb + steam,1
atomic bomb + storm,1
atomic bomb + water,3
beach + beach,1
beach + brick,1
beach + energy,1
beach + lava,2
beach + volcano,1
boiler + fire,2
boiler + obsidian,1
boiler + sand,1
boiler + water,1
brick + atomic bomb,2
brick + brick,10
brick + bullet,1
brick + clay,1
brick + cotton,1
brick + dust,6
brick + earth,16
brick + energy,14
brick + gunpowder,2
brick + moss,1
brick + river,1
brick + steam,7
brick + swamp,1
brick + tobacco,2
bullet + atomic bomb,1
bullet + fire,1
bullet + gun,2
bullet + stone,1
bullet + water gun,1
city + city,3
city + explosion,1
clay + beach,1
clay + lava,1
cloud + brick,2
cloud + clay,1
cloud + cloud,8
cloud + dust,5
cloud + earth,4
cloud + earthquake,1
cloud + energy,7
cloud + fire,10
cloud + fog,2
cloud + garden,1
cloud + gunpowder,2
cloud + lava,3
cloud + ocean,1
cloud + plant,1
cloud + rain,8
cloud + steam,5
cloud + sun,1
cloud + tobacco,1
cloud + volcano,1
cloud + water,19
cotton + cloud,1
cotton + lava,1
cotton + water,1
day + air,2
day + cloud,1
day + lava,1
day + sky,2
desert + flood,1
dew + fire,1
dew + water,1
dust + ash,4
dust + clay,1
dust + dust,9
dust + earthquake,9
dust + electricity,1
dust + explosion,3
dust + flood,1
dust + granite,1
dust + grass,1
dust + gunpowder,11
dust + hurricane,1
dust + metal,1
dust + mountain,1
dust + obsidian,2
dust + plant,2
dust + rain,6
dust + salt,2
dust + stone,1
dust + tobacco,2
dust + volcano,9
dust + water gun,1
earth + air,48
earth + algae,5
earth + ash,3
earth + atmosphere,2
earth + bullet,1
earth + dew,1
earth + dust,15
earth + earth,20
earth + earthquake,16
earth + energy,32
earth + explosion,8
earth + fireworks,1
earth + flood,1
earth + flower,1
earth + garden,1
earth + geyser,5
earth + grass,4
earth + gunpowder,8
earth + hurricane,8
earth + metal,1
earth + mountain,6
earth + ocean,1
earth + plant,12
earth + rain,22
earth + sea,1
earth + sky,2
earth + steam,22
earth + stone,7
earth + storm,1
earth + swamp,2
earth + tobacco,4
earth + volcano,9
earth + water,54
earth + wave,2
earth + wind,9
earthquake + algae,1
earthquake + ash,2
earthquake + brick,4
earthquake + earthquake,7
earthquake + fire,18
earthquake + geyser,3
earthquake + mountain,2
earthquake + mud,2
earthquake + obsidian,3
earthquake + ocean,2
earthquake + pressure,3
earthquake + sea,1
earthquake + steam,4
earthquake + stone,1
earthquake + tsunami,1
earthquake + water,14
earthquake + wind,1
energy + atmosphere,4
energy + atomic bomb,5
energy + day,1
energy + dew,1
energy + dust,14
energy + earthquake,23
energy + energy,19
energy + explosion,6
energy + flood,4
energy + geyser,9
energy + house,1
energy + obsidian,7
energy + pressure,8
energy + rain,15
energy + river,4
energy + sea,3
energy + stone,1
energy + storm,4
energy + swamp,1
energy + tsunami,2
energy + water,35
explosion + atmosphere,2
explosion + atomic bomb,3
explosion + bullet,1
explosion + cloud,1
explosion + explosion,2
explosion + fog,1
explosion + geyser,1
explosion + granite,1
explosion + gunpowder,4
explosion + mud,3
explosion + obsidian,1
explosion + ocean,1
explosion + pressure,1
explosion + rain,1
explosion + steam,1
explosion + stone,2
explosion + volcano,3
explosion + water,8
fire + air,57
fire + algae,6
fire + atmosphere,4
fire + atomic bomb,5
fire + beach,2
fire + brick,18
fire + day,1
fire + dust,29
fire + earth,60
fire + energy,30
fire + explosion,9
fire + fire,28
fire + glass,1
fire + granite,1
