Combinations,Percentage of Players
air + air,30.4
air + algae,14.3
air + aquarium,0.9
air + atomic bomb,4.5
air + bacteria,0.9
air + boiler,2.7
air + brick,16.1
air + bullet,0.9
air + clay,0.9
air + cloud,28.6
air + dam,0.9
air + day,3.6
air + desert,0.9
air + dew,1.8
air + dune,1.8
air + dust,32.1
air + earth,78.6
air + earthquake,17.0
air + energy,38.4
air + fireworks,0.9
air + geyser,18.8
air + grass,2.7
air + grenade,0.9
air + gunpowder,5.4
air + horizon,2.7
air + house,0.9
air + human,0.9
air + isle,0.9
air + mud,19.6
air + obsidian,10.7
air + ocean,6.2
air + plant,9.8
air + pond,0.9
air + pressure,10.7
air + rain,32.1
air + rust,0.9
air + sand,4.5
air + steam,45.5
air + stone,8.0
air + sun,1.8
air + swamp,2.7
air + tobacco,2.7
air + tsunami,0.9
air + volcano,18.8
air + wave,0.9
air + wind,19.6
air + windmill,1.8
air + wizard,0.9
algae + algae,8.0
algae + allergy,0.9
algae + brick,1.8
algae + cotton,0.9
algae + dust,2.7
algae + energy,8.9
algae + explosion,0.9
algae + fire,13.4
algae + flood,0.9
algae + garden,2.7
algae + geyser,0.9
algae + granite,0.9
algae + house,0.9
algae + human,0.9
algae + lava,6.2
algae + metal,0.9
algae + obsidian,3.6
algae + plant,4.5
algae + pressure,1.8
algae + sea,4.5
algae + steam,8.0
algae + stone,3.6
algae + volcano,1.8
algae + water,14.3
algae + wind,1.8
algae + wire,0.9
allergy + ash,0.9
allergy + farmer,0.9
allergy + rain,0.9
allergy + water,0.9
aquarium + aquarium,2.7
aquarium + beach,0.9
aquarium + dust,1.8
aquarium + glass,1.8
aquarium + sandstone,0.9
archipelago + archipelago,3.6
archipelago + explosion,1.8
archipelago + flood,0.9
archipelago + isle,0.9
archipelago + wind,0.9
ash + air,8.0
ash + archipelago,0.9
ash + ash,2.7
ash + beach,0.9
ash + brick,2.7
ash + cloud,2.7
ash + energy,8.9
ash + fire,9.8
ash + geyser,2.7
ash + hurricane,1.8
ash + metal,0.9
ash + mud,2.7
ash + obsidian,0.9
ash + ocean,0.9
ash + pressure,0.9
ash + rain,2.7
ash + stone,2.7
ash + water,8.9
atmosphere + air,9.8
atmosphere + aquarium,0.9
atmosphere + archipelago,0.9
atmosphere + ash,1.8
atmosphere + atmosphere,11.6
atmosphere + atomic bomb,0.9
atmosphere + cloud,3.6
atmosphere + dust,2.7
atmosphere + earthquake,1.8
atmosphere + electricity,0.9
atmosphere + garden,0.9
atmosphere + gun,0.9
atmosphere + lava,0.9
atmosphere + metal,1.8
atmosphere + plant,0.9
atmosphere + sea,1.8
atmosphere + sky,2.7
atmosphere + steam,4.5
atmosphere + stone,0.9
atmosphere + storm,0.9
atmosphere + tobacco,0.9
atmosphere + water,5.4
atmosphere + wire,1.8
atomic bomb + algae,2.7
atomic bomb + ash,0.9
atomic bomb + atomic bomb,4.5
atomic bomb + blade,0.9
atomic bomb + boiler,0.9
atomic bomb + cloud,2.7
atomic bomb + cold,0.9
atomic bomb + dust,2.7
atomic bomb + earth,5.4
atomic bomb + earthquake,2.7
atomic bomb + explosion,8.9
atomic bomb + fireman,0.9
atomic bomb + gunpowder,2.7
atomic bomb + human,0.9
atomic bomb + lava,1.8
atomic bomb + metal,2.7
atomic bomb + mud,2.7
atomic bomb + obsidian,1.8
atomic bomb + plankton,0.9
atomic bomb + salt,0.9
atomic bomb + sound,0.9
atomic bomb + steam,0.9
atomic bomb + stone,0.9
atomic bomb + storm,2.7
atomic bomb + volcano,6.2
atomic bomb + wave,0.9
atomic bomb + wind,2.7
atomic bomb + wizard,0.9
bacteria + brick,0.9
bacteria + earth,0.9
bacteria + energy,0.9
bacteria + fire,0.9
bacteria + geyser,0.9
bacteria + obsidian,0.9
bacteria + plant,0.9
bacteria + rain,0.9
bacteria + steam,0.9
bacteria + wind,0.9
bayonet + blade,0.9
bayonet + sword,0.9
beach + air,1.8
beach + algae,0.9
beach + atmosphere,1.8
beach + atomic bomb,0.9
beach + beach,2.7
beach + boiler,0.9
beach + brick,0.9
beach + bullet,0.9
beach + desert,0.9
