Intersection,Difference Children,Difference Adults
"['fire', 'water']","['glass', 'glass']","['earth', 'salt']"
"['fire', 'air']","['metal', 'glasses']","['cloud', 'geyser']"
"['earth', 'water']","['aquarium', 'aquarium']","['horizon', 'water']"
"['water', 'mud']","['dust', 'salt']","['mud', 'sky']"
"['energy', 'water']","['sky', 'sky']","['granite', 'atmosphere']"
"['fire', 'steam']","['horizon', 'energy']","['lava', 'atmosphere']"
"['fire', 'earth']","['horizon', 'horizon']","['wind', 'atmosphere']"
"['fire', 'energy']","['rain', 'fog']","['tobacco', 'tobacco']"
"['fire', 'lava']","['horizon', 'fog']","['air', 'sea']"
"['fire', 'mud']","['fog', 'fog']","['tobacco', 'swamp']"
"['fire', 'brick']","['fog', 'air']","['swamp', 'earthquake']"
"['water', 'air']","['fog', 'steam']","['tsunami', 'swamp']"
"['water', 'brick']","['sky', 'salt']","['electricity', 'earthquake']"
"['water', 'lava']","['sky', 'horizon']","['electricity', 'water']"
"['water', 'obsidian']","['pressure', 'cloud']","['earth', 'electricity']"
"['water', 'rain']","['sky', 'pressure']","['energy', 'electricity']"
"['water', 'steam']","['salt', 'atmosphere']","['electricity', 'metal']"
"['earth', 'air']","['geyser', 'grass']","['wire', 'water']"
"['air', 'brick']","['garden', 'grass']","['wall', 'water']"
"['air', 'dust']","['obsidian', 'geyser']","['lava', 'fog']"
"['air', 'energy']","['lava', 'grass']","['wall', 'lava']"
"['air', 'lava']","['grass', 'fire']","['plant', 'fog']"
"['air', 'mud']","['garden', 'ocean']","['sea', 'plant']"
"['air', 'obsidian']","['geyser', 'volcano']","['coal', 'fire']"
"['air', 'rain']","['mud', 'geyser']","['grass', 'fog']"
"['air', 'steam']","['geyser', 'brick']","['dew', 'dust']"
"['air', 'stone']","['wind', 'brick']","['coal', 'dew']"
"['air', 'sand']","['mountain', 'air']","['garden', 'fog']"
"['air', 'wind']","['river', 'river']","['mud', 'garden']"
"['fire', 'wind']","['river', 'fire']","['fog', 'atmosphere']"
"['fire', 'stone']","['mountain', 'steam']","['stone', 'mud']"
"['fire', 'metal']","['earthquake', 'mountain']","['dust', 'algae']"
"['fire', 'sand']","['flood', 'earthquake']","['dust', 'atmosphere']"
"['fire', 'rain']","['river', 'flood']","['gunpowder', 'atmosphere']"
"['fire', 'obsidian']","['water', 'flood']","['mud', 'atmosphere']"
"['fire', 'glass']","['flood', 'rain']","['wind', 'tobacco']"
"['glass', 'water']","['earth', 'flood']","['hurricane', 'algae']"
"['water', 'water']","['energy', 'flood']","['hurricane', 'plant']"
"['fire', 'fire']","['flood', 'air']","['hurricane', 'tobacco']"
"['earth', 'earth']","['mountain', 'mountain']","['algae', 'ocean']"
"['air', 'air']","['mountain range', 'mountain range']","['brick', 'pressure']"
"['brick', 'brick']","['ocean', 'river']","['water', 'aquarium']"
"['wall', 'wall']","['mountain', 'ocean']","['geyser', 'aquarium']"
"['house', 'house']","['mountain range', 'ocean']","['steam', 'glass']"
"['village', 'village']","['geyser', 'pressure']","['earthquake', 'aquarium']"
"['city', 'city']","['geyser', 'atmosphere']","['earthquake', 'sand']"
"['cloud', 'cloud']","['algae', 'pressure']","['city', 'energy']"
"['sea', 'fire']","['algae', 'flood']","['city', 'fire']"
"['sea', 'salt']","['pressure', 'flood']","['river', 'dust']"
"['air', 'cloud']","['dust', 'gunpowder']","['lava', 'river']"
"['earth', 'sky']","['gunpowder', 'lava']","['wind', 'swamp']"
"['cloud', 'dust']","['fire', 'explosion']","['steam', 'dew']"
"['cloud', 'water']","['earth', 'explosion']","['air', 'dew']"
"['cloud', 'fire']","['dust', 'explosion']","['grass', 'wind']"
"['cloud', 'earth']","['lava', 'explosion']","['explosion', 'wind']"
"['steam', 'horizon']","['explosion', 'granite']","['earthquake', 'explosion']"
"['salt', 'rain']","['dust', 'granite']","['blade', 'metal']"
"['steam', 'energy']","['granite', 'earth']","['blade', 'fire']"
"['steam', 'steam']","['pressure', 'dust']","['metal', 'air']"
"['rain', 'steam']","['cloud', 'gunpowder']","['rust', 'sword']"
"['dust', 'dust']","['sky', 'cloud']","['fire', 'sword']"
"['energy', 'energy']","['volcano', 'atmosphere']","['water', 'blade']"
"['pressure', 'rain']","['explosion', 'atmosphere']","['metal', 'rust']"
"['energy', 'pressure']","['granite', 'air']","['obsidian', 'sword']"
"['sea', 'pressure']","['explosion', 'volcano']","['rust', 'stone']"
"['pressure', 'fire']","['granite', 'cloud']","['stone', 'sword']"
"['pressure', 'water']","['explosion', 'gunpowder']","['excalibur', 'rust']"
"['pressure', 'pressure']","['gunpowder', 'volcano']","['earth', 'excalibur']"
"['horizon', 'pressure']","['sky', 'volcano']","['air', 'excalibur']"
"['steam', 'pressure']","['ash', 'fire']","['air', 'sword']"
"['atmosphere', 'cloud']","['wind', 'ash']","['rust', 'air']"
"['atmosphere', 'sea']","['steam', 'ash']","['pressure', 'rust']"
"['atmosphere', 'air']","['earth', 'ash']","['cotton', 'fire']"
"['fire', 'atmosphere']","['rain', 'mountain']","['fog', 'dust']"
"['energy', 'atmosphere']","['sand', 'lava']","['fire', 'fog']"
"['atmosphere', 'atmosphere']","['metal', 'beach']","['energy', 'fog']"
"['earth', 'rain']","['beach', 'lava']","['earth', 'cotton']"
"['plant', 'water']","['metal', 'steam']","['air', 'cotton']"
"['algae', 'water']","['boiler', 'fire']","['energy', 'wire']"
"['energy', 'rain']","['boiler', 'water']","['wire', 'metal']"
"['energy', 'obsidian']","['boiler', 'sand']","['electricity', 'fire']"
"['earth', 'steam']","['steam', 'boiler']","['hurricane', 'electricity']"
"['geyser', 'lava']","['air', 'boiler']","['wire', 'stone']"
"['algae', 'sea']","['fire', 'beach']","['obsidian', 'hurricane']"
"['plant', 'rain']","['volcano', 'pressure']","['earth', 'clay']"
"['earth', 'plant']","['wind', 'house']","['wind', 'clay']"
"['grass', 'rain']","['windmill', 'house']","['blade', 'mud']"
"['sea', 'steam']","['wind', 'windmill']","['sword', 'mud']"
"['grass', 'plant']","['windmill', 'steam']","['water', 'sword']"
"['water', 'sea']","['windmill', 'windmill']","['earth', 'sword']"
"['rain', 'garden']","['house', 'sea']","['electricity', 'air']"
"['energy', 'sea']","['mountain', 'geyser']","['electricity', 'stone']"
"['earth', 'algae']","['mountain', 'volcano']","['geyser', 'electricity']"
"['geyser', 'steam']","['algae', 'plant']","['wave', 'mud']"
"['grass', 'energy']","['dust', 'ash']","['dust', 'wave']"
"['garden', 'fire']","['stone', 'ash']","['wave', 'energy']"
"['energy', 'geyser']","['rain', 'sun']","['brick', 'wave']"
"['obsidian', 'lava']","['river', 'air']","['wall', 'pressure']"
"['lava', 'earth']","['river', 'wind']","['atmosphere', 'wave']"
"['water', 'volcano']","['mountain', 'pressure']","['swamp', 'mud']"
"['garden', 'air']","['wind', 'pressure']","['swamp', 'lava']"
"['air', 'algae']","['earthquake', 'pressure']","['coal', 'energy']"
"['air', 'ocean']","['river', 'earthquake']","['pond', 'water']"
"['air', 'plant']","['mountain range', 'earth']","['lake', 'water']"
"['obsidian', 'volcano']","['mountain range', 'mountain']","['lake', 'earth']"
"['volcano', 'volcano']","['mountain range', 'river']","['garden', 'lake']"
"['geyser', 'fire']","['river', 'earth']","['volcano', 'garden']"
"['air', 'geyser']","['wind', 'plant']","['obsidian', 'granite']"
"['wind', 'mud']","['garden', 'garden']","['coal', 'coal']"
"['wind', 'energy']","['plant', 'garden']","['lake', 'volcano']"
"['wind', 'wind']","['garden', 'flower']","['stone', 'salt']"
"['geyser', 'wind']","['flower', 'flower']","['electricity', 'sea']"
"['steam', 'hurricane']","['plant', 'flower']","['salt', 'electricity']"
"['geyser', 'water']","['flower', 'hurricane']","['sand', 'steam']"
"['earth', 'hurricane']","['geyser', 'dust']","['beach', 'earth']"
"['water', 'hurricane']","['geyser', 'tobacco']","['beach', 'steam']"
"['wind', 'water']","['plant', 'geyser']","['energy', 'sand']"
"['hurricane', 'fire']","['plant', 'brick']","['sandstorm', 'rain']"
"['lava', 'brick']","['tobacco', 'obsidian']","['sandstorm', 'volcano']"
"['brick', 'energy']","['mud', 'mountain']","['sandstorm', 'fire']"
"['mud', 'brick']","['gunpowder', 'gunpowder']","['sandstorm', 'lava']"
"['rain', 'brick']","['ocean', 'sea']","['sandstorm', 'beach']"
"['brick', 'steam']","['salt', 'ocean']","['cloud', 'storm']"
"['lava', 'energy']","['gunpowder', 'salt']","['steam', 'storm']"
"['hurricane', 'energy']","['gunpowder', 'steam']","['storm', 'ash']"
"['rain', 'wind']","['mud', 'ocean']","['blade', 'stone']"
"['lava', 'mud']","['mud', 'salt']","['sand', 'stone']"
"['lava', 'wind']","['geyser', 'swamp']","['sandstone', 'stone']"
"['wind', 'hurricane']","['cloud', 'tobacco']","['earth', 'blade']"
"['lava', 'rain']","['air', 'sun']","['air', 'blade']"
"['earth', 'energy']","['sun', 'steam']","['energy', 'blade']"
"['air', 'earthquake']","['mud', 'sun']","['geyser', 'blade']"
"['energy', 'earthquake']","['sky', 'plant']","['lava', 'blade']"
"['earth', 'earthquake']","['sun', 'sky']","['fire', 'sandstone']"
"['mountain', 'water']","['day', 'air']","['energy', 'sword']"
"['river', 'rain']","['day', 'sky']","['geyser', 'sword']"
"['river', 'water']","['fire', 'day']","['lava', 'sword']"
"['mountain', 'energy']","['water', 'day']","['lightsaber', 'sword']"
"['rain', 'rain']","['sky', 'rainbow']","['metal', 'sword']"
"['river', 'steam']","['cloud', 'earthquake']","['sand', 'sword']"
