Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
water + fire,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
air + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
fire + air,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
energy + steam,1,0,1,120,75,45,1,0,2,2,0:100,0.0,0.38,False
water + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
earth + energy,1,0,1,132,81,51,1,0,2,2,0:100,0.0,0.39,True
earthquake + water,1,0,1,77,45,32,1,0,3,3,0:100,0.0,0.42,False
fire + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,False
water + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
steam + mud,1,0,1,122,84,38,1,0,3,3,0:100,0.0,0.31,False
earthquake + mud,1,0,1,63,38,25,2,0,4,4,0:100,0.0,0.4,False
dust + earthquake,1,0,1,57,36,21,2,0,5,5,0:100,0.0,0.37,False
energy + mud,1,0,1,107,66,41,1,0,2,2,0:100,0.0,0.38,False
water + air,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
water + dust,1,0,1,125,88,37,1,0,3,3,0:100,0.0,0.3,False
water + mud,1,0,1,134,90,44,1,0,2,2,0:100,0.0,0.33,False
water + steam,1,0,1,150,102,48,1,0,2,2,0:100,0.0,0.32,False
mud + rain,1,0,1,120,80,40,1,0,2,2,0:100,0.0,0.33,False
fire + earth,1,0,1,170,112,58,1,0,2,2,0:100,0.0,0.34,True
lava + water,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
obsidian + water,1,0,1,85,59,26,1,0,4,4,0:100,0.0,0.31,False
rain + obsidian,1,0,1,74,51,23,1,0,4,4,0:100,0.0,0.31,False
earthquake + obsidian,1,0,1,44,28,16,2,0,6,6,0:100,0.0,0.36,False
earthquake + lava,1,0,1,68,42,26,1,0,4,4,0:100,0.0,0.38,False
lava + air,1,0,1,144,100,44,1,0,2,2,0:100,0.0,0.31,True
earthquake + stone,1,0,1,33,19,14,3,0,7,7,0:100,0.0,0.42,False
fire + stone,1,0,1,63,39,24,2,0,4,4,0:100,0.0,0.38,True
metal + energy,1,0,1,24,13,11,4,0,9,9,0:100,0.0,0.46,True
water + electricity,1,0,1,17,9,8,6,0,12,12,0:100,0.0,0.47,False
