Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
fire + water,1,0,1,98,67,31,1,0,3,3,0:100,0.0,0.32,True
fire + air,1,0,1,98,67,31,1,0,3,3,0:100,0.0,0.32,True
earth + water,1,0,1,98,67,31,1,0,3,3,0:100,0.0,0.32,True
water + mud,1,0,1,81,54,27,1,0,4,4,0:100,0.0,0.33,False
energy + water,1,0,1,85,57,28,1,0,4,4,0:100,0.0,0.33,True
fire + steam,1,0,1,93,64,29,1,0,3,3,0:100,0.0,0.31,False
fire + earth,1,0,1,98,67,31,1,0,3,3,0:100,0.0,0.32,True
fire + energy,1,0,1,85,57,28,1,0,4,4,0:100,0.0,0.33,False
fire + lava,1,0,1,88,60,28,1,0,4,4,0:100,0.0,0.32,False
fire + mud,1,0,1,81,54,27,1,0,4,4,0:100,0.0,0.33,True
fire + brick,1,0,1,49,33,16,2,0,6,6,0:100,0.0,0.33,False
water + air,1,0,1,98,67,31,1,0,3,3,0:100,0.0,0.32,True
water + brick,1,0,1,49,33,16,2,0,6,6,0:100,0.0,0.33,False
water + lava,1,0,1,88,60,28,1,0,4,4,0:100,0.0,0.32,True
water + obsidian,1,0,1,53,37,16,2,0,6,6,0:100,0.0,0.3,False
water + rain,1,0,1,85,58,27,1,0,4,4,0:100,0.0,0.32,False
water + steam,1,0,1,93,64,29,1,0,3,3,0:100,0.0,0.31,False
earth + air,1,0,1,98,67,31,1,0,3,3,0:100,0.0,0.32,True
air + brick,1,0,1,49,33,16,2,0,6,6,0:100,0.0,0.33,False
air + dust,1,0,1,72,48,24,1,0,4,4,0:100,0.0,0.33,False
air + energy,1,0,1,85,57,28,1,0,4,4,0:100,0.0,0.33,True
air + lava,1,0,1,88,60,28,1,0,4,4,0:100,0.0,0.32,True
air + mud,1,0,1,81,54,27,1,0,4,4,0:100,0.0,0.33,False
air + obsidian,1,0,1,53,37,16,2,0,6,6,0:100,0.0,0.3,False
air + rain,1,0,1,85,58,27,1,0,4,4,0:100,0.0,0.32,False
air + steam,1,0,1,93,64,29,1,0,3,3,0:100,0.0,0.31,True
air + stone,1,0,1,35,20,15,3,0,7,7,0:100,0.0,0.43,True
air + sand,1,0,1,11,5,6,9,0,17,17,0:100,0.0,1.0,False
air + wind,1,0,1,45,28,17,2,0,6,6,0:100,0.0,0.38,False
fire + wind,1,0,1,45,28,17,2,0,6,6,0:100,0.0,0.38,False
fire + stone,1,0,1,35,20,15,3,0,7,7,0:100,0.0,0.43,True
fire + metal,1,0,1,16,9,7,6,0,14,14,0:100,0.0,0.44,False
fire + sand,1,1,0,11,5,6,9,20,0,20,100:0,inf,0.45,True
fire + rain,1,0,1,85,58,27,1,0,4,4,0:100,0.0,0.32,False
