water,fire
air,earth
fire,air
water,energy
earth,energy
water,earth
water,air
fire,earth
lava,water
lava,air
fire,stone
metal,energy
fire,mud
air,energy
air,steam
air,stone
fire,sand
glass,glass
glass,water
water,water
earth,earth
air,air
brick,brick
wall,wall
house,house
village,village
air,cloud
energy,cloud
rain,rain
sand,sand
sea,sea
sea,sky
metal,stone
blade,blade
sea,fire
earth,sky
cloud,water
cloud,earth
sky,pressure
earth,rain
plant,water
earth,steam
earth,plant
grass,plant
water,sea
lava,earth
plant,plant
wind,energy
mud,plant
swamp,energy
mud,grass
garden,plant
sky,fire
sky,sun
metal,sun
earth,earthquake
mountain,water
mountain,mountain
fire,ocean
earthquake,ocean
dust,fire
metal,steam
mountain,lava
fire,plant
air,pressure
metal,air
fire,gunpowder
lava,pressure
volcano,energy
metal,electricity
mountain,fire
water,sand
gunpowder,metal
bullet,metal
energy,sand
sand,mud
wind,house
ocean,wind
earth,wave
plant,ocean
explosion,energy
rain,sun
cloud,plant
rainbow,water
garden,water
pond,water
flower,flower
sea,earthquake
plant,pressure
grass,water
sea,volcano
wind,sea
mud,sun
sand,wind
sand,sea
ocean,volcano
water,desert
isle,isle
glasses,sun
electricity,glass
metal,explosion
glass,sand
metal,glass
blade,electricity
metal,blade
stone,sword
water,life
wall,river
air,wave
grass,blade
grass,scythe
sand,plant
algae,stone
life,air
house,grass
stone,wind
stone,sand
gun,sword
plant,stone
beach,wind
sea,plant
