Element,Amount of Combinations
air,84
algae,54
aquarium,17
archipelago,23
ash,48
atmosphere,44
atomic bomb,44
barn,2
bayonet,1
beach,26
bird,2
blade,40
blender,24
boiler,11
brick,53
bullet,11
cactus,10
city,44
clay,11
cloud,51
coal,22
cotton,22
dam,7
day,20
desert,14
dew,26
diamond,17
double rainbow!,9
duck,4
dune,24
dust,54
earth,86
earthquake,59
eclipse,10
electricity,57
energy,88
excalibur,16
explosion,35
fire,83
flood,34
flower,12
fog,24
garden,34
geyser,53
glass,22
glasses,6
gold,13
granite,20
grass,38
greenhouse,5
grenade,3
gun,9
gunpowder,36
hay,17
hay bale,1
horizon,27
hourglass,4
house,41
hurricane,46
isle,36
lake,11
lava,61
life,5
light,17
light bulb,7
lightsaber,4
metal,54
moon,18
moss,14
mountain,17
mountain range,8
mud,54
night,11
oasis,7
obsidian,40
ocean,45
paint,10
plankton,2
plant,57
pond,21
pressure,57
pyramid,5
rain,70
rainbow,29
river,16
rust,23
salt,38
sand,36
sandstone,24
sandstorm,18
scissors,11
scythe,6
sea,57
sky,41
skyscraper,12
sound,22
steam,63
stone,57
storm,43
sun,47
swamp,34
sword,23
tide,12
tobacco,40
tsunami,29
village,24
volcano,50
wall,26
water,96
water lily,6
wave,29
wind,69
windmill,13
wire,39
