Element,Amount of Combinations
air,41
algae,17
aquarium,3
ash,8
atmosphere,21
beach,6
blade,11
brick,23
bullet,1
city,3
clay,3
cloud,19
coal,4
cotton,6
dew,8
dust,26
earth,45
earthquake,25
electricity,12
energy,46
excalibur,3
explosion,4
fire,45
flood,1
fog,10
garden,8
geyser,17
glass,3
granite,5
grass,12
gunpowder,8
horizon,3
house,1
hurricane,19
lake,4
lava,37
lightsaber,1
metal,15
mountain,6
mud,31
obsidian,22
ocean,9
plant,23
pond,2
pressure,22
rain,36
river,6
rust,6
salt,11
sand,11
sandstone,3
sandstorm,5
sea,18
sky,7
steam,32
stone,27
storm,9
sun,6
swamp,14
sword,15
tobacco,17
tsunami,4
village,1
volcano,25
wall,4
water,53
wave,6
wind,27
wire,4
