Element,Percentage of Combinations
air,73.7
algae,47.4
aquarium,14.9
archipelago,20.2
ash,42.1
atmosphere,38.6
atomic bomb,38.6
barn,1.8
bayonet,0.9
beach,22.8
bird,1.8
blade,35.1
blender,21.1
boiler,9.6
brick,46.5
bullet,9.6
cactus,8.8
city,38.6
clay,9.6
cloud,44.7
coal,19.3
cotton,19.3
dam,6.1
day,17.5
desert,12.3
dew,22.8
diamond,14.9
double rainbow!,7.9
duck,3.5
dune,21.1
dust,47.4
earth,75.4
earthquake,51.8
eclipse,8.8
electricity,50.0
energy,77.2
excalibur,14.0
explosion,30.7
fire,72.8
flood,29.8
flower,10.5
fog,21.1
garden,29.8
geyser,46.5
glass,19.3
glasses,5.3
gold,11.4
granite,17.5
grass,33.3
greenhouse,4.4
grenade,2.6
gun,7.9
gunpowder,31.6
hay,14.9
hay bale,0.9
horizon,23.7
hourglass,3.5
house,36.0
hurricane,40.4
isle,31.6
lake,9.6
lava,53.5
life,4.4
light,14.9
light bulb,6.1
lightsaber,3.5
metal,47.4
moon,15.8
moss,12.3
mountain,14.9
mountain range,7.0
mud,47.4
night,9.6
oasis,6.1
obsidian,35.1
ocean,39.5
paint,8.8
plankton,1.8
plant,50.0
pond,18.4
pressure,50.0
pyramid,4.4
rain,61.4
rainbow,25.4
river,14.0
rust,20.2
salt,33.3
sand,31.6
sandstone,21.1
sandstorm,15.8
scissors,9.6
scythe,5.3
sea,50.0
sky,36.0
skyscraper,10.5
sound,19.3
steam,55.3
stone,50.0
storm,37.7
sun,41.2
swamp,29.8
sword,20.2
tide,10.5
tobacco,35.1
tsunami,25.4
village,21.1
volcano,43.9
wall,22.8
water,84.2
water lily,5.3
wave,25.4
wind,60.5
windmill,11.4
wire,34.2
