Element,Amount of Combinations
air,99
algae,65
allergy,9
aquarium,29
archipelago,29
ash,56
atmosphere,58
atomic bomb,66
bacteria,18
barn,2
bayonet,4
beach,41
bird,2
blade,49
blender,27
boiler,29
brick,70
bullet,29
cactus,11
city,56
clay,17
cloud,67
coal,24
cold,12
cotton,25
dam,10
day,31
desert,24
dew,32
diamond,17
double rainbow!,9
duck,4
dune,32
dust,76
dynamite,10
earth,99
earthquake,73
eclipse,10
electricity,64
energy,103
excalibur,17
explosion,55
farmer,11
field,8
fire,98
fireman,13
fireworks,11
flamethrower,4
flood,47
flower,32
fog,35
garden,45
geyser,75
glass,32
glasses,13
gold,14
granite,41
grass,57
greenhouse,5
grenade,18
gun,23
gunpowder,61
hay,21
hay bale,1
horizon,37
hourglass,6
house,51
human,26
hurricane,60
isle,47
lake,15
lava,80
life,29
light,17
light bulb,7
lightsaber,4
love,1
metal,67
moon,18
moss,25
mountain,46
mountain range,17
mud,71
needle,2
night,11
oasis,9
obsidian,63
ocean,60
paint,10
plankton,11
plant,70
pond,29
pressure,66
pyramid,5
rain,90
rainbow,32
river,42
rust,28
salt,57
sand,46
sandstone,26
sandstorm,20
scissors,17
scythe,9
sea,68
sky,53
skyscraper,12
sound,27
steam,74
stone,69
storm,56
sun,52
sunglasses,2
swamp,53
sword,28
tide,12
tobacco,48
tsunami,40
village,40
volcano,70
wall,37
water,110
water gun,7
water lily,6
waterfall,23
wave,43
wheat,8
wind,80
windmill,22
wire,46
wizard,19
