Element,Amount of Combinations
air,61
algae,28
aquarium,4
ash,19
atmosphere,29
atomic bomb,17
beach,14
blade,11
boiler,6
brick,35
bullet,13
city,4
clay,8
cloud,36
coal,4
cotton,8
day,11
desert,2
dew,10
dust,45
earth,61
earthquake,37
electricity,13
energy,58
excalibur,3
explosion,33
fire,62
fireworks,8
flood,17
flower,8
fog,18
garden,20
geyser,37
glass,4
glasses,1
granite,16
grass,24
grenade,12
gun,8
gunpowder,33
horizon,9
house,6
hurricane,24
lake,4
lava,51
life,3
lightsaber,1
metal,27
moss,5
mountain,25
mountain range,5
mud,43
obsidian,34
ocean,23
plant,37
pond,5
pressure,35
rain,45
rainbow,1
river,21
rust,6
salt,19
sand,15
sandstone,3
sandstorm,5
sea,23
sky,25
steam,46
stone,42
storm,19
sun,12
swamp,17
sword,15
tobacco,24
tsunami,13
village,2
volcano,38
wall,7
water,66
water gun,6
wave,11
wind,40
windmill,4
wire,4
