Element,Percentage of Combinations
air,75.6
algae,49.6
allergy,6.9
aquarium,22.1
archipelago,22.1
ash,42.7
atmosphere,44.3
atomic bomb,50.4
bacteria,13.7
barn,1.5
bayonet,3.1
beach,31.3
bird,1.5
blade,37.4
blender,20.6
boiler,22.1
brick,53.4
bullet,22.1
cactus,8.4
city,42.7
clay,13.0
cloud,51.1
coal,18.3
cold,9.2
cotton,19.1
dam,7.6
day,23.7
desert,18.3
dew,24.4
diamond,13.0
double rainbow!,6.9
duck,3.1
dune,24.4
dust,58.0
dynamite,7.6
earth,75.6
earthquake,55.7
eclipse,7.6
electricity,48.9
energy,78.6
excalibur,13.0
explosion,42.0
farmer,8.4
field,6.1
fire,74.8
fireman,9.9
fireworks,8.4
flamethrower,3.1
flood,35.9
flower,24.4
fog,26.7
garden,34.4
geyser,57.3
glass,24.4
glasses,9.9
gold,10.7
granite,31.3
grass,43.5
greenhouse,3.8
grenade,13.7
gun,17.6
gunpowder,46.6
hay,16.0
hay bale,0.8
horizon,28.2
hourglass,4.6
house,38.9
human,19.8
hurricane,45.8
isle,35.9
lake,11.5
lava,61.1
life,22.1
light,13.0
light bulb,5.3
lightsaber,3.1
love,0.8
metal,51.1
moon,13.7
moss,19.1
mountain,35.1
mountain range,13.0
mud,54.2
needle,1.5
night,8.4
oasis,6.9
obsidian,48.1
ocean,45.8
paint,7.6
plankton,8.4
plant,53.4
pond,22.1
pressure,50.4
pyramid,3.8
rain,68.7
rainbow,24.4
river,32.1
rust,21.4
salt,43.5
sand,35.1
sandstone,19.8
sandstorm,15.3
scissors,13.0
scythe,6.9
sea,51.9
sky,40.5
skyscraper,9.2
sound,20.6
steam,56.5
stone,52.7
storm,42.7
sun,39.7
sunglasses,1.5
swamp,40.5
sword,21.4
tide,9.2
tobacco,36.6
tsunami,30.5
village,30.5
volcano,53.4
wall,28.2
water,84.0
water gun,5.3
water lily,4.6
waterfall,17.6
wave,32.8
wheat,6.1
wind,61.1
windmill,16.8
wire,35.1
wizard,14.5
