Element,Amount of Combinations
air,77
algae,46
allergy,9
aquarium,19
archipelago,12
ash,36
atmosphere,45
atomic bomb,49
bacteria,18
bayonet,3
beach,33
blade,26
blender,5
boiler,24
brick,64
bullet,28
cactus,1
city,32
clay,12
cloud,52
coal,9
cold,12
cotton,9
dam,4
day,21
desert,15
dew,16
dune,19
dust,67
dynamite,10
earth,79
earthquake,54
electricity,30
energy,80
excalibur,2
explosion,48
farmer,11
field,8
fire,81
fireman,13
fireworks,11
flamethrower,4
flood,39
flower,28
fog,23
garden,30
geyser,57
glass,23
glasses,9
gold,1
granite,32
grass,47
grenade,18
gun,20
gunpowder,52
hay,5
horizon,25
hourglass,3
house,32
human,26
hurricane,41
isle,31
lake,8
lava,73
life,29
love,1
metal,49
moss,15
mountain,46
mountain range,14
mud,59
needle,2
oasis,4
obsidian,55
ocean,45
paint,4
plankton,11
plant,52
pond,18
pressure,51
rain,72
rainbow,13
river,39
rust,11
salt,40
sand,32
sandstone,4
sandstorm,4
scissors,12
scythe,4
sea,52
sky,34
sound,6
steam,63
stone,50
storm,36
sun,25
sunglasses,2
swamp,39
sword,12
tobacco,34
tsunami,25
village,26
volcano,60
wall,28
water,93
water gun,7
waterfall,23
wave,29
wheat,8
wind,59
windmill,14
wire,22
wizard,19
