Element,Amount of Combinations
air,52
algae,25
aquarium,1
ash,18
atmosphere,21
atomic bomb,17
beach,11
boiler,6
brick,31
bullet,12
city,2
clay,6
cloud,34
cotton,5
day,11
desert,2
dew,5
dust,39
earth,51
earthquake,32
electricity,1
energy,48
explosion,31
fire,53
fireworks,8
flood,17
flower,8
fog,10
garden,16
geyser,32
glass,3
glasses,1
granite,14
grass,22
grenade,12
gun,8
gunpowder,31
horizon,8
house,6
hurricane,19
lava,43
life,3
metal,21
moss,5
mountain,25
mountain range,5
mud,34
obsidian,31
ocean,22
plant,33
pond,4
pressure,32
rain,44
rainbow,1
river,19
salt,16
sand,10
sea,20
sky,24
steam,40
stone,30
storm,16
sun,8
swamp,10
tobacco,19
tsunami,12
village,2
volcano,35
wall,4
water,57
water gun,6
wave,6
wind,34
windmill,4
