Element,Percentage of Combinations
air,67.5
algae,40.4
allergy,7.9
aquarium,16.7
archipelago,10.5
ash,31.6
atmosphere,39.5
atomic bomb,43.0
bacteria,15.8
bayonet,2.6
beach,28.9
blade,22.8
blender,4.4
boiler,21.1
brick,56.1
bullet,24.6
cactus,0.9
city,28.1
clay,10.5
cloud,45.6
coal,7.9
cold,10.5
cotton,7.9
dam,3.5
day,18.4
desert,13.2
dew,14.0
dune,16.7
dust,58.8
dynamite,8.8
earth,69.3
earthquake,47.4
electricity,26.3
energy,70.2
excalibur,1.8
explosion,42.1
farmer,9.6
field,7.0
fire,71.1
fireman,11.4
fireworks,9.6
flamethrower,3.5
flood,34.2
flower,24.6
fog,20.2
garden,26.3
geyser,50.0
glass,20.2
glasses,7.9
gold,0.9
granite,28.1
grass,41.2
grenade,15.8
gun,17.5
gunpowder,45.6
hay,4.4
horizon,21.9
hourglass,2.6
house,28.1
human,22.8
hurricane,36.0
isle,27.2
lake,7.0
lava,64.0
life,25.4
love,0.9
metal,43.0
moss,13.2
mountain,40.4
mountain range,12.3
mud,51.8
needle,1.8
oasis,3.5
obsidian,48.2
ocean,39.5
paint,3.5
plankton,9.6
plant,45.6
pond,15.8
pressure,44.7
rain,63.2
rainbow,11.4
river,34.2
rust,9.6
salt,35.1
sand,28.1
sandstone,3.5
sandstorm,3.5
scissors,10.5
scythe,3.5
sea,45.6
sky,29.8
sound,5.3
steam,55.3
stone,43.9
storm,31.6
sun,21.9
sunglasses,1.8
swamp,34.2
sword,10.5
tobacco,29.8
tsunami,21.9
village,22.8
volcano,52.6
wall,24.6
water,81.6
water gun,6.1
waterfall,20.2
wave,25.4
wheat,7.0
wind,51.8
windmill,12.3
wire,19.3
wizard,16.7
