Element,Amount of Players
algae,19
aquarium,4
archipelago,5
ash,9
atmosphere,9
atomic bomb,8
barn,1
bayonet,1
beach,5
bird,1
blade,7
blender,4
boiler,2
brick,26
bullet,3
cactus,1
city,8
clay,1
cloud,22
coal,5
cotton,3
dam,1
day,3
desert,2
dew,11
diamond,2
double rainbow!,2
duck,1
dune,6
dust,37
earthquake,32
eclipse,1
electricity,8
energy,51
excalibur,4
explosion,9
flood,12
flower,3
fog,6
garden,12
geyser,24
glass,6
glasses,2
gold,1
granite,4
grass,17
greenhouse,1
grenade,1
gun,1
gunpowder,16
hay,4
hay bale,1
horizon,9
hourglass,1
house,8
hurricane,26
isle,5
lake,2
lava,44
life,1
light,1
light bulb,1
lighthouse,1
lightsaber,1
metal,12
moon,1
moss,3
mountain,5
mountain range,2
mud,44
night,1
oasis,2
obsidian,26
ocean,13
paint,1
plankton,1
plant,30
pond,7
pressure,21
pyramid,1
rain,51
rainbow,6
river,2
rust,6
salt,10
sand,12
sandstone,4
sandstorm,4
scissors,4
scythe,1
sea,21
sky,13
skyscraper,1
sound,2
steam,48
stone,24
storm,9
sun,7
sunglasses,1
swamp,11
sword,4
tide,1
tobacco,22
tsunami,5
village,7
volcano,24
wall,11
water lily,1
wave,5
wind,38
windmill,1
wire,6
