Element,Amount of Players
algae,9
aquarium,1
ash,5
atmosphere,5
atomic bomb,1
beach,1
blade,3
brick,16
bullet,1
city,2
clay,1
cloud,9
coal,2
cotton,1
dew,6
dust,24
earthquake,16
electricity,4
energy,28
excalibur,1
explosion,3
flood,1
fog,2
garden,4
geyser,13
glass,1
granite,2
grass,9
gunpowder,8
horizon,2
house,2
hurricane,9
lake,1
lava,28
lightsaber,1
metal,7
mountain,3
mud,27
obsidian,16
ocean,5
plant,16
pond,1
pressure,11
rain,27
river,2
rust,2
salt,4
sand,6
sandstone,1
sandstorm,1
sea,10
sky,3
steam,29
stone,15
storm,2
sun,1
swamp,5
sword,3
tobacco,13
tsunami,1
village,2
volcano,12
wall,4
wave,2
wind,17
wire,3
