Element,Percentage of Players
algae,32.8
aquarium,6.9
archipelago,8.6
ash,15.5
atmosphere,15.5
atomic bomb,13.8
barn,1.7
bayonet,1.7
beach,8.6
bird,1.7
blade,12.1
blender,6.9
boiler,3.4
brick,44.8
bullet,5.2
cactus,1.7
city,13.8
clay,1.7
cloud,37.9
coal,8.6
cotton,5.2
dam,1.7
day,5.2
desert,3.4
dew,19.0
diamond,3.4
double rainbow!,3.4
duck,1.7
dune,10.3
dust,63.8
earthquake,55.2
eclipse,1.7
electricity,13.8
energy,87.9
excalibur,6.9
explosion,15.5
flood,20.7
flower,5.2
fog,10.3
garden,20.7
geyser,41.4
glass,10.3
glasses,3.4
gold,1.7
granite,6.9
grass,29.3
greenhouse,1.7
grenade,1.7
gun,1.7
gunpowder,27.6
hay,6.9
hay bale,1.7
horizon,15.5
hourglass,1.7
house,13.8
hurricane,44.8
isle,8.6
lake,3.4
lava,75.9
life,1.7
light,1.7
light bulb,1.7
lighthouse,1.7
lightsaber,1.7
metal,20.7
moon,1.7
moss,5.2
mountain,8.6
mountain range,3.4
mud,75.9
night,1.7
oasis,3.4
obsidian,44.8
ocean,22.4
paint,1.7
plankton,1.7
plant,51.7
pond,12.1
pressure,36.2
pyramid,1.7
rain,87.9
rainbow,10.3
river,3.4
rust,10.3
salt,17.2
sand,20.7
sandstone,6.9
sandstorm,6.9
scissors,6.9
scythe,1.7
sea,36.2
sky,22.4
skyscraper,1.7
sound,3.4
steam,82.8
stone,41.4
storm,15.5
sun,12.1
sunglasses,1.7
swamp,19.0
sword,6.9
tide,1.7
tobacco,37.9
tsunami,8.6
village,12.1
volcano,41.4
wall,19.0
water lily,1.7
wave,8.6
wind,65.5
windmill,1.7
wire,10.3
