Element,Amount of Players
algae,45
allergy,1
aquarium,9
archipelago,9
ash,30
atmosphere,25
atomic bomb,21
bacteria,1
barn,1
bayonet,2
beach,13
bird,2
blade,13
blender,5
boiler,6
brick,74
bullet,9
cactus,2
city,22
clay,4
cloud,73
coal,7
cold,1
cotton,5
dam,2
day,8
desert,6
dew,16
diamond,2
double rainbow!,2
duck,1
dune,11
dust,125
dynamite,1
earthquake,77
eclipse,1
electricity,17
energy,132
excalibur,5
explosion,33
farmer,1
field,1
fireman,1
fireworks,1
flamethrower,2
flood,36
flower,9
fog,20
garden,29
geyser,61
glass,12
glasses,5
gold,2
granite,11
grass,38
greenhouse,1
grenade,4
gun,7
gunpowder,64
hay,5
hay bale,1
horizon,18
hourglass,3
house,23
human,2
hurricane,50
isle,11
lake,4
lava,144
life,4
light,1
light bulb,2
lighthouse,1
lightsaber,1
love,1
metal,31
moon,1
moss,8
mountain,28
mountain range,9
mud,134
needle,1
night,1
oasis,4
obsidian,85
ocean,37
paint,2
plankton,3
plant,69
pond,11
pressure,63
pyramid,1
rain,147
rainbow,8
river,16
rust,8
salt,30
sand,25
sandstone,5
sandstorm,6
scissors,7
scythe,2
sea,61
sky,45
skyscraper,1
sound,3
steam,150
stone,63
storm,26
sun,14
sunglasses,2
swamp,28
sword,7
tide,1
tobacco,41
tsunami,13
village,22
volcano,77
wall,28
water gun,2
water lily,1
waterfall,4
wave,11
wheat,1
wind,81
windmill,4
wire,12
wizard,2
