Element,Amount of Players
algae,23
aquarium,2
ash,15
atmosphere,14
atomic bomb,7
beach,3
blade,4
boiler,3
brick,49
bullet,4
city,5
clay,2
cloud,34
coal,3
cotton,2
day,2
desert,1
dew,8
dust,72
earthquake,49
electricity,6
energy,85
excalibur,1
explosion,18
fireworks,1
flood,8
flower,3
fog,6
garden,10
geyser,35
glass,2
glasses,1
granite,6
grass,21
grenade,2
gun,3
gunpowder,37
horizon,4
house,7
human,1
hurricane,20
lake,1
lava,88
life,1
lightsaber,1
metal,16
moss,2
mountain,19
mountain range,2
mud,81
obsidian,53
ocean,15
plant,38
pond,2
pressure,38
rain,85
rainbow,2
river,11
rust,2
salt,11
sand,11
sandstone,1
sandstorm,1
sea,32
sky,18
steam,93
stone,35
storm,9
sun,4
swamp,10
sword,3
tobacco,24
tsunami,4
village,6
volcano,44
wall,14
water gun,1
wave,4
wind,45
windmill,1
wire,3
