Element,Percentage of Players
algae,26.5
allergy,0.6
aquarium,5.3
archipelago,5.3
ash,17.6
atmosphere,14.7
atomic bomb,12.4
bacteria,0.6
barn,0.6
bayonet,1.2
beach,7.6
bird,1.2
blade,7.6
blender,2.9
boiler,3.5
brick,43.5
bullet,5.3
cactus,1.2
city,12.9
clay,2.4
cloud,42.9
coal,4.1
cold,0.6
cotton,2.9
dam,1.2
day,4.7
desert,3.5
dew,9.4
diamond,1.2
double rainbow!,1.2
duck,0.6
dune,6.5
dust,73.5
dynamite,0.6
earthquake,45.3
eclipse,0.6
electricity,10.0
energy,77.6
excalibur,2.9
explosion,19.4
farmer,0.6
field,0.6
fireman,0.6
fireworks,0.6
flamethrower,1.2
flood,21.2
flower,5.3
fog,11.8
garden,17.1
geyser,35.9
glass,7.1
glasses,2.9
gold,1.2
granite,6.5
grass,22.4
greenhouse,0.6
grenade,2.4
gun,4.1
gunpowder,37.6
hay,2.9
hay bale,0.6
horizon,10.6
hourglass,1.8
house,13.5
human,1.2
hurricane,29.4
isle,6.5
lake,2.4
lava,84.7
life,2.4
light,0.6
light bulb,1.2
lighthouse,0.6
lightsaber,0.6
love,0.6
metal,18.2
moon,0.6
moss,4.7
mountain,16.5
mountain range,5.3
mud,78.8
needle,0.6
night,0.6
oasis,2.4
obsidian,50.0
ocean,21.8
paint,1.2
plankton,1.8
plant,40.6
pond,6.5
pressure,37.1
pyramid,0.6
rain,86.5
rainbow,4.7
river,9.4
rust,4.7
salt,17.6
sand,14.7
sandstone,2.9
sandstorm,3.5
scissors,4.1
scythe,1.2
sea,35.9
sky,26.5
skyscraper,0.6
sound,1.8
steam,88.2
stone,37.1
storm,15.3
sun,8.2
sunglasses,1.2
swamp,16.5
sword,4.1
tide,0.6
tobacco,24.1
tsunami,7.6
village,12.9
volcano,45.3
wall,16.5
water gun,1.2
water lily,0.6
waterfall,2.4
wave,6.5
wheat,0.6
wind,47.6
windmill,2.4
wire,7.1
wizard,1.2
