Element,Amount of Players
algae,26
allergy,1
aquarium,5
archipelago,4
ash,21
atmosphere,16
atomic bomb,13
bacteria,1
bayonet,1
beach,8
bird,1
blade,6
blender,1
boiler,4
brick,48
bullet,6
cactus,1
city,14
clay,3
cloud,51
coal,2
cold,1
cotton,2
dam,1
day,5
desert,4
dew,5
dune,5
dust,88
dynamite,1
earthquake,45
electricity,9
energy,81
excalibur,1
explosion,24
farmer,1
field,1
fireman,1
fireworks,1
flamethrower,2
flood,24
flower,6
fog,14
garden,17
geyser,37
glass,6
glasses,3
gold,1
granite,7
grass,21
grenade,3
gun,6
gunpowder,48
hay,1
horizon,9
hourglass,2
house,15
human,2
hurricane,24
isle,6
lake,2
lava,100
life,3
light bulb,1
love,1
metal,19
moss,5
mountain,23
mountain range,7
mud,90
needle,1
oasis,2
obsidian,59
ocean,24
paint,1
plankton,2
plant,39
pond,4
pressure,42
rain,96
rainbow,2
river,14
rust,2
salt,20
sand,13
sandstone,1
sandstorm,2
scissors,3
scythe,1
sea,40
sky,32
sound,1
steam,102
stone,39
storm,17
sun,7
sunglasses,1
swamp,17
sword,3
tobacco,19
tsunami,8
village,15
volcano,53
wall,17
water gun,2
waterfall,4
wave,6
wheat,1
wind,43
windmill,3
wire,6
wizard,2
