Element,Amount of Players
algae,14
aquarium,1
ash,10
atmosphere,9
atomic bomb,6
beach,2
blade,1
boiler,3
brick,33
bullet,3
city,3
clay,1
cloud,25
coal,1
cotton,1
day,2
desert,1
dew,2
dust,48
earthquake,33
electricity,2
energy,57
explosion,15
fireworks,1
flood,7
flower,3
fog,4
garden,6
geyser,22
glass,1
glasses,1
granite,4
grass,12
grenade,2
gun,3
gunpowder,29
horizon,2
house,5
human,1
hurricane,11
lava,60
life,1
metal,9
moss,2
mountain,16
mountain range,2
mud,54
obsidian,37
ocean,10
plant,22
pond,1
pressure,27
rain,58
rainbow,2
river,9
salt,7
sand,5
sea,22
sky,15
steam,64
stone,20
storm,7
sun,3
swamp,5
tobacco,11
tsunami,3
village,4
volcano,32
wall,10
water gun,1
wave,2
wind,28
windmill,1
