element,ratio,total,children,adults
greenhouse,0:100,1,0,1
double rainbow!,0:100,2,0,2
duck,0:100,1,0,1
diamond,0:100,2,0,2
skyscraper,0:100,1,0,1
moon,0:100,1,0,1
tide,0:100,1,0,1
night,0:100,1,0,1
eclipse,0:100,1,0,1
hay bale,0:100,1,0,1
barn,0:100,1,0,1
water lily,0:100,1,0,1
pyramid,0:100,1,0,1
light,0:100,1,0,1
lighthouse,0:100,1,0,1
lightsaber,0:100,1,0,1
blender,20:80,5,1,4
excalibur,20:80,5,1,4
hay,20:80,5,1,4
sandstone,20:80,5,1,4
rust,25:75,8,2,6
rainbow,25:75,8,2,6
coal,29:71,7,2,5
dew,31:69,16,5,11
sandstorm,33:67,6,2,4
sound,33:67,3,1,2
pond,36:64,11,4,7
cotton,40:60,5,2,3
scissors,43:57,7,3,4
sword,43:57,7,3,4
archipelago,44:56,9,4,5
dune,45:55,11,5,6
blade,46:54,13,6,7
tobacco,46:54,41,19,22
hurricane,48:52,50,24,26
glass,50:50,12,6,6
horizon,50:50,18,9,9
sun,50:50,14,7,7
gold,50:50,2,1,1
wire,50:50,12,6,6
paint,50:50,2,1,1
lake,50:50,4,2,2
oasis,50:50,4,2,2
sunglasses,50:50,2,1,1
light bulb,50:50,2,1,1
dam,50:50,2,1,1
scythe,50:50,2,1,1
cactus,50:50,2,1,1
bird,50:50,2,1,1
bayonet,50:50,2,1,1
sand,52:48,25,13,12
electricity,53:47,17,9,8
wind,53:47,81,43,38
wave,55:45,11,6,5
isle,55:45,11,6,5
grass,55:45,38,21,17
aquarium,56:44,9,5,4
plant,57:43,69,39,30
algae,58:42,45,26,19
earthquake,58:42,77,45,32
garden,59:41,29,17,12
glasses,60:40,5,3,2
geyser,61:39,61,37,24
wall,61:39,28,17,11
swamp,61:39,28,17,11
metal,61:39,31,19,12
energy,61:39,132,81,51
tsunami,62:38,13,8,5
beach,62:38,13,8,5
stone,62:38,63,39,24
atomic bomb,62:38,21,13,8
day,62:38,8,5,3
moss,62:38,8,5,3
city,64:36,22,14,8
granite,64:36,11,7,4
atmosphere,64:36,25,16,9
brick,65:35,74,48,26
ocean,65:35,37,24,13
house,65:35,23,15,8
rain,65:35,147,96,51
storm,65:35,26,17,9
sea,66:34,61,40,21
pressure,67:33,63,42,21
flood,67:33,36,24,12
desert,67:33,6,4,2
salt,67:33,30,20,10
flower,67:33,9,6,3
boiler,67:33,6,4,2
bullet,67:33,9,6,3
hourglass,67:33,3,2,1
plankton,67:33,3,2,1
mud,67:33,134,90,44
steam,68:32,150,102,48
village,68:32,22,15,7
volcano,69:31,77,53,24
obsidian,69:31,85,59,26
lava,69:31,144,100,44
cloud,70:30,73,51,22
fog,70:30,20,14,6
ash,70:30,30,21,9
dust,70:30,125,88,37
sky,71:29,45,32,13
explosion,73:27,33,24,9
life,75:25,4,3,1
gunpowder,75:25,64,48,16
clay,75:25,4,3,1
windmill,75:25,4,3,1
grenade,75:25,4,3,1
mountain range,78:22,9,7,2
mountain,82:18,28,23,5
gun,86:14,7,6,1
river,88:12,16,14,2
bacteria,100:0,1,1,0
flamethrower,100:0,2,2,0
water gun,100:0,2,2,0
fireworks,100:0,1,1,0
human,100:0,2,2,0
wizard,100:0,2,2,0
cold,100:0,1,1,0
fireman,100:0,1,1,0
waterfall,100:0,4,4,0
love,100:0,1,1,0
needle,100:0,1,1,0
allergy,100:0,1,1,0
farmer,100:0,1,1,0
wheat,100:0,1,1,0
field,100:0,1,1,0
dynamite,100:0,1,1,0
