element,ratio,total,children,adults
wire,0:100,3,0,3
sword,0:100,3,0,3
rust,0:100,2,0,2
excalibur,0:100,1,0,1
lake,0:100,1,0,1
sandstorm,0:100,1,0,1
sandstone,0:100,1,0,1
lightsaber,0:100,1,0,1
dew,25:75,8,2,6
blade,25:75,4,1,3
coal,33:67,3,1,2
electricity,33:67,6,2,4
sand,45:55,11,5,6
tobacco,46:54,24,11,13
glass,50:50,2,1,1
aquarium,50:50,2,1,1
horizon,50:50,4,2,2
swamp,50:50,10,5,5
wave,50:50,4,2,2
pond,50:50,2,1,1
cotton,50:50,2,1,1
clay,50:50,2,1,1
hurricane,55:45,20,11,9
metal,56:44,16,9,7
stone,57:43,35,20,15
grass,57:43,21,12,9
plant,58:42,38,22,16
city,60:40,5,3,2
garden,60:40,10,6,4
algae,61:39,23,14,9
wind,62:38,45,28,17
geyser,63:37,35,22,13
salt,64:36,11,7,4
atmosphere,64:36,14,9,5
mud,67:33,81,54,27
dust,67:33,72,48,24
village,67:33,6,4,2
fog,67:33,6,4,2
ocean,67:33,15,10,5
granite,67:33,6,4,2
ash,67:33,15,10,5
beach,67:33,3,2,1
energy,67:33,85,57,28
brick,67:33,49,33,16
earthquake,67:33,49,33,16
lava,68:32,88,60,28
rain,68:32,85,58,27
sea,69:31,32,22,10
steam,69:31,93,64,29
obsidian,70:30,53,37,16
pressure,71:29,38,27,11
wall,71:29,14,10,4
house,71:29,7,5,2
volcano,73:27,44,32,12
cloud,74:26,34,25,9
tsunami,75:25,4,3,1
sun,75:25,4,3,1
bullet,75:25,4,3,1
storm,78:22,9,7,2
gunpowder,78:22,37,29,8
river,82:18,11,9,2
sky,83:17,18,15,3
explosion,83:17,18,15,3
mountain,84:16,19,16,3
atomic bomb,86:14,7,6,1
flood,88:12,8,7,1
glasses,100:0,1,1,0
mountain range,100:0,2,2,0
boiler,100:0,3,3,0
windmill,100:0,1,1,0
rainbow,100:0,2,2,0
flower,100:0,3,3,0
day,100:0,2,2,0
fireworks,100:0,1,1,0
grenade,100:0,2,2,0
gun,100:0,3,3,0
life,100:0,1,1,0
human,100:0,1,1,0
moss,100:0,2,2,0
desert,100:0,1,1,0
water gun,100:0,1,1,0
