Element,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference of ratios,Ratio Children:Adults used (%),Fisher's Exact Test,p-Value,# Uses total,# Uses children,# Uses adults,Average uses total,Average uses children,Average uses adults,Difference of ratios,T-test,p-Value
water,58,0,58,170,112,58,34,0,100,100,0:100,0.0,0.0,683,0,683,4,0,12,12,-inf,0.0
fire,58,0,58,170,112,58,34,0,100,100,0:100,0.0,0.0,660,0,660,4,0,11,11,-inf,0.0
earth,58,0,58,170,112,58,34,0,100,100,0:100,0.0,0.0,576,0,576,3,0,10,10,-inf,0.0
air,58,0,58,170,112,58,34,0,100,100,0:100,0.0,0.0,596,0,596,4,0,10,10,-inf,0.0
energy,51,0,51,51,0,51,100,0,100,100,0:100,nan,1.0,538,0,538,11,0,11,11,nan,nan
wind,37,0,37,38,0,38,97,0,97,97,0:100,nan,1.0,349,0,349,9,0,9,9,nan,nan
steam,48,0,48,48,0,48,100,0,100,100,0:100,nan,1.0,346,0,346,7,0,7,7,nan,nan
rain,51,0,51,51,0,51,100,0,100,100,0:100,nan,1.0,439,0,439,9,0,9,9,nan,nan
plant,30,0,30,30,0,30,100,0,100,100,0:100,nan,1.0,238,0,238,8,0,8,8,nan,nan
hurricane,24,0,24,26,0,26,92,0,92,92,0:100,nan,1.0,155,0,155,6,0,6,6,nan,nan
mud,43,0,43,44,0,44,98,0,98,98,0:100,nan,1.0,256,0,256,6,0,6,6,nan,nan
algae,19,0,19,19,0,19,100,0,100,100,0:100,nan,1.0,204,0,204,11,0,11,11,nan,nan
sea,21,0,21,21,0,21,100,0,100,100,0:100,nan,1.0,176,0,176,8,0,8,8,nan,nan
ocean,13,0,13,13,0,13,100,0,100,100,0:100,nan,1.0,115,0,115,9,0,9,9,nan,nan
lava,44,0,44,44,0,44,100,0,100,100,0:100,nan,1.0,298,0,298,7,0,7,7,nan,nan
brick,24,0,24,26,0,26,92,0,92,92,0:100,nan,1.0,190,0,190,7,0,7,7,nan,nan
salt,10,0,10,10,0,10,100,0,100,100,0:100,nan,1.0,93,0,93,9,0,9,9,nan,nan
garden,12,0,12,12,0,12,100,0,100,100,0:100,nan,1.0,70,0,70,6,0,6,6,nan,nan
grass,17,0,17,17,0,17,100,0,100,100,0:100,nan,1.0,114,0,114,7,0,7,7,nan,nan
geyser,24,0,24,24,0,24,100,0,100,100,0:100,nan,1.0,157,0,157,7,0,7,7,nan,nan
dust,37,0,37,37,0,37,100,0,100,100,0:100,nan,1.0,252,0,252,7,0,7,7,nan,nan
stone,23,0,23,24,0,24,96,0,96,96,0:100,nan,1.0,196,0,196,8,0,8,8,nan,nan
pressure,20,0,20,21,0,21,95,0,95,95,0:100,nan,1.0,219,0,219,10,0,10,10,nan,nan
atmosphere,9,0,9,9,0,9,100,0,100,100,0:100,nan,1.0,103,0,103,11,0,11,11,nan,nan
cloud,21,0,21,22,0,22,95,0,95,95,0:100,nan,1.0,152,0,152,7,0,7,7,nan,nan
sand,12,0,12,12,0,12,100,0,100,100,0:100,nan,1.0,69,0,69,6,0,6,6,nan,nan
moss,2,0,2,3,0,3,67,0,67,67,0:100,nan,1.0,15,0,15,5,0,5,5,nan,nan
flower,2,0,2,3,0,3,67,0,67,67,0:100,nan,1.0,14,0,14,5,0,5,5,nan,nan
earthquake,27,0,27,32,0,32,84,0,84,84,0:100,nan,1.0,197,0,197,6,0,6,6,nan,nan
volcano,21,0,21,24,0,24,88,0,88,88,0:100,nan,1.0,171,0,171,7,0,7,7,nan,nan
gunpowder,16,0,16,16,0,16,100,0,100,100,0:100,nan,1.0,92,0,92,6,0,6,6,nan,nan
explosion,9,0,9,9,0,9,100,0,100,100,0:100,nan,1.0,76,0,76,8,0,8,8,nan,nan
obsidian,25,0,25,26,0,26,96,0,96,96,0:100,nan,1.0,139,0,139,5,0,5,5,nan,nan
tobacco,21,0,21,22,0,22,95,0,95,95,0:100,nan,1.0,147,0,147,7,0,7,7,nan,nan
swamp,11,0,11,11,0,11,100,0,100,100,0:100,nan,1.0,69,0,69,6,0,6,6,nan,nan
storm,9,0,9,9,0,9,100,0,100,100,0:100,nan,1.0,87,0,87,10,0,10,10,nan,nan
cotton,3,0,3,3,0,3,100,0,100,100,0:100,nan,1.0,30,0,30,10,0,10,10,nan,nan
ash,9,0,9,9,0,9,100,0,100,100,0:100,nan,1.0,100,0,100,11,0,11,11,nan,nan
dune,6,0,6,6,0,6,100,0,100,100,0:100,nan,1.0,36,0,36,6,0,6,6,nan,nan
fog,5,0,5,6,0,6,83,0,83,83,0:100,nan,1.0,37,0,37,6,0,6,6,nan,nan
glass,5,0,5,6,0,6,83,0,83,83,0:100,nan,1.0,34,0,34,6,0,6,6,nan,nan
aquarium,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,18,0,18,4,0,4,4,nan,nan
greenhouse,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,5,0,5,5,0,5,5,nan,nan
cactus,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,10,0,10,10,0,10,10,nan,nan
sky,12,0,12,13,0,13,92,0,92,92,0:100,nan,1.0,103,0,103,8,0,8,8,nan,nan
horizon,9,0,9,9,0,9,100,0,100,100,0:100,nan,1.0,42,0,42,5,0,5,5,nan,nan
granite,4,0,4,4,0,4,100,0,100,100,0:100,nan,1.0,28,0,28,7,0,7,7,nan,nan
wave,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,53,0,53,11,0,11,11,nan,nan
sound,2,0,2,2,0,2,100,0,100,100,0:100,nan,1.0,26,0,26,13,0,13,13,nan,nan
metal,11,0,11,12,0,12,92,0,92,92,0:100,nan,1.0,150,0,150,12,0,12,12,nan,nan
rust,5,0,5,6,0,6,83,0,83,83,0:100,nan,1.0,36,0,36,6,0,6,6,nan,nan
pond,7,0,7,7,0,7,100,0,100,100,0:100,nan,1.0,34,0,34,5,0,5,5,nan,nan
beach,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,39,0,39,8,0,8,8,nan,nan
tsunami,5,0,5,5,0,5,100,0,100,100,0:100,nan,1.0,44,0,44,9,0,9,9,nan,nan
