,id,trial,n1,n2,out
1,1,1,fire,air,energy
2,1,2,air,energy,wind
3,1,3,energy,water,steam
4,1,4,steam,fire,none
5,1,5,wind,earth,none
6,1,6,water,air,rain
7,1,7,energy,rain,none
8,1,8,earth,rain,plant
9,1,9,rain,air,none
10,1,10,wind,energy,hurricane
11,1,11,energy,hurricane,none
12,1,12,water,hurricane,none
13,1,13,wind,hurricane,none
14,1,14,water,steam,none
15,1,15,hurricane,earth,none
16,1,16,air,fire,energy
17,1,17,fire,water,steam
18,1,18,earth,water,mud
19,1,19,air,water,rain
20,1,20,energy,water,steam
21,1,21,hurricane,water,none
22,1,22,plant,water,algae
23,1,23,water,water,sea
24,1,24,mud,water,none
25,1,25,sea,water,ocean
26,1,26,steam,water,none
27,1,27,wind,water,none
28,1,28,earth,fire,lava
29,1,29,air,fire,energy
30,1,30,algae,fire,none
31,1,31,energy,fire,none
32,1,32,hurricane,fire,none
33,1,33,mud,fire,brick
34,1,34,mud,fire,brick
35,1,35,ocean,fire,salt
36,1,36,plant,plant,garden
37,1,37,earth,ocean,none
38,1,38,earth,plant,grass
39,1,39,earth,plant,grass
40,1,40,earth,rain,plant
41,1,41,earth,salt,none
42,1,42,earth,sea,none
43,1,43,earth,steam,geyser
44,1,44,earth,rain,plant
45,1,45,earth,salt,none
46,1,46,earth,sea,none
47,1,47,earth,steam,geyser
48,1,48,earth,wind,none
49,1,49,air,water,rain
50,1,50,air,fire,energy
51,1,51,air,earth,dust
52,1,52,air,algae,none
53,1,53,air,brick,none
54,1,54,air,dust,none
55,1,55,air,energy,wind
56,1,56,air,garden,none
57,1,57,air,geyser,none
58,1,58,air,grass,none
59,1,59,air,lava,stone
60,1,60,air,mud,none
61,1,61,air,air,pressure
62,1,62,air,lava,stone
63,1,63,air,mud,none
64,1,64,air,ocean,none
65,1,65,air,plant,none
66,1,66,air,pressure,atmosphere
67,1,67,air,rain,none
68,1,68,air,salt,none
69,1,69,air,steam,cloud
70,1,70,air,stone,sand
71,1,71,air,wind,none
72,1,72,air,steam,cloud
73,1,73,algae,water,none
74,1,74,algae,fire,none
75,1,75,algae,earth,none
76,1,76,algae,air,none
77,1,77,algae,algae,none
78,1,78,algae,atmosphere,none
79,1,79,algae,brick,none
80,1,80,algae,cloud,none
81,1,81,algae,dust,none
82,1,82,algae,energy,none
83,1,83,algae,garden,none
84,1,84,algae,geyser,none
85,1,85,algae,grass,none
86,1,86,atmosphere,hurricane,none
87,1,87,algae,lava,none
88,1,88,algae,mud,none
89,1,89,algae,ocean,none
90,1,90,algae,plant,none
91,1,91,algae,plant,none
92,1,92,algae,pressure,none
93,1,93,algae,rain,none
94,1,94,algae,salt,none
95,1,95,algae,sand,none
96,1,96,algae,sea,none
97,1,97,algae,steam,none
98,1,98,algae,stone,moss
99,1,99,algae,wind,none
100,2,1,water,air,rain
101,2,2,fire,rain,none
102,2,3,water,fire,steam
103,2,4,steam,rain,none
104,2,5,steam,air,cloud
105,2,6,cloud,water,rain
106,2,7,rain,fire,none
107,2,8,earth,air,dust
108,2,9,dust,earth,none
109,2,10,fire,water,steam
110,2,11,earth,rain,plant
111,2,12,earth,plant,grass
112,2,13,grass,plant,garden
113,2,14,grass,garden,none
114,2,15,plant,garden,flower
115,2,16,flower,garden,none
116,2,17,grass,flower,none
117,3,1,water,air,rain
118,3,2,fire,earth,lava
119,3,3,rain,water,none
120,3,4,air,fire,energy
121,3,5,energy,water,steam
122,3,6,steam,energy,none
123,3,7,lava,steam,none
124,3,8,energy,fire,none
125,3,9,energy,rain,none
126,3,10,energy,air,wind
127,3,11,wind,energy,hurricane
128,3,12,hurricane,earth,none
129,3,13,wind,rain,none
130,3,14,steam,water,none
131,3,15,rain,wind,none
132,3,16,air,steam,cloud
133,4,1,water,air,rain
134,4,2,fire,rain,none
135,4,3,earth,water,mud
136,4,4,air,mud,none
137,4,5,air,fire,energy
138,4,6,air,energy,wind
139,4,7,energy,wind,hurricane
140,4,8,rain,hurricane,none
141,4,9,wind,hurricane,none
142,4,10,hurricane,fire,none
143,4,11,energy,rain,none
144,4,12,energy,earth,earthquake
145,4,13,air,earthquake,none
146,4,14,earthquake,wind,none
147,4,15,air,earthquake,none
148,4,16,mud,air,none
149,4,17,rain,air,none
150,4,18,energy,mud,none
151,5,1,water,air,rain
152,5,2,fire,rain,none
153,5,3,earth,rain,plant
154,5,4,plant,rain,none
155,5,5,water,plant,algae
156,5,6,earth,algae,none
157,5,7,fire,earth,lava
158,5,8,earth,lava,volcano
159,5,9,rain,volcano,none
160,5,10,water,algae,none
161,5,11,plant,lava,none
162,5,12,volcano,water,none
163,5,13,air,earth,dust
164,5,14,dust,earth,none
165,5,15,dust,water,none
166,5,16,dust,rain,none
167,5,17,plant,rain,none
168,5,18,algae,dust,none
169,5,19,water,plant,algae
170,5,20,air,algae,none
171,5,21,earth,fire,lava
172,5,22,volcano,rain,none
173,5,23,volcano,dust,none
174,5,24,dust,water,none
175,5,25,dust,fire,gunpowder
176,5,26,gunpowder,fire,explosion
177,5,27,explosion,rain,none
178,5,28,explosion,air,none
179,5,29,explosion,volcano,none
180,5,30,explosion,earth,none
181,5,31,explosion,rain,none
182,5,32,explosion,plant,none
183,5,33,air,explosion,none
184,5,34,algae,algae,none
185,5,35,lava,earth,volcano
186,5,36,water,air,rain
187,5,37,rain,volcano,none
188,5,38,dust,earth,none
189,5,39,gunpowder,air,none
190,5,40,rain,volcano,none
191,5,41,gunpowder,lava,none
192,5,42,gunpowder,air,none
193,5,43,water,algae,none
194,5,44,rain,volcano,none
195,5,45,air,dust,none
196,5,46,fire,explosion,none
197,5,47,lava,plant,none
198,5,48,air,plant,none
199,5,49,earth,fire,lava
200,5,50,lava,gunpowder,none
201,5,51,volcano,earth,none
202,5,52,volcano,fire,none
203,6,1,water,earth,mud
204,6,2,water,fire,steam
205,6,3,water,air,rain
206,6,4,fire,earth,lava
207,6,5,fire,air,energy
208,6,6,fire,air,energy
209,6,7,water,energy,steam
210,6,8,water,lava,obsidian
211,6,9,water,mud,none
212,6,10,water,obsidian,none
213,6,11,water,rain,none
214,6,12,water,steam,none
215,6,13,fire,energy,none
216,6,14,fire,lava,none
217,6,15,fire,mud,brick
218,6,16,fire,brick,none
219,6,17,fire,obsidian,none
220,6,18,fire,rain,none
221,6,19,earth,brick,none
